,Lights,Refrigerator,Kitchen stove,Dishwasher,Washer,Dryer,Freezer,Other Appliances,Total (5 min)
Time,Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),Power (W)
10:25:00,0,251,0,0,505,0,0,242,998
10:30:00,0,242,0,0,0,0,0,242,484
10:35:00,0,242,0,0,0,0,0,242,484
10:40:00,0,234,0,0,505,0,0,242,981
10:45:00,0,160,0,0,505,0,0,242,907
10:50:00,30,0,0,0,505,0,0,242,777
10:55:00,30,0,0,0,0,0,0,242,272
11:00:00,30,0,0,0,0,0,0,242,272
11:05:00,30,0,0,0,0,0,0,62,92
11:10:00,30,0,0,0,0,0,0,62,92
11:15:00,30,0,0,0,0,0,0,62,92
11:20:00,30,0,0,0,0,0,0,62,92
11:25:00,30,0,0,0,0,0,0,62,92
11:30:00,30,80,0,0,0,0,0,62,172
11:35:00,30,251,0,0,0,0,0,62,343
11:40:00,30,242,0,0,0,4115,0,62,4449
11:45:00,30,242,0,0,0,4115,0,62,4449
11:50:00,30,234,0,0,0,4115,0,62,4441
11:55:00,30,160,0,0,0,4115,0,62,4367
12:00:00,30,0,0,0,0,4115,0,62,4207
12:05:00,30,0,0,0,0,4115,0,62,4207
12:10:00,235,0,0,0,0,4115,0,62,4412
12:15:00,235,0,0,0,0,4115,0,62,4412
12:20:00,235,0,0,0,0,4115,0,62,4412
12:25:00,235,0,0,0,0,0,0,62,297
12:30:00,235,0,0,0,0,0,0,62,297
12:35:00,30,0,0,0,0,0,0,62,92
12:40:00,0,80,0,0,0,0,0,62,142
12:45:00,0,251,0,0,0,0,0,62,313
12:50:00,0,242,0,0,0,0,0,62,304
12:55:00,0,242,0,0,0,0,0,62,304
13:00:00,0,234,0,0,0,0,0,62,296
13:05:00,0,160,0,0,0,0,0,62,222
13:10:00,0,0,0,0,0,0,0,62,62
13:15:00,0,0,0,0,0,0,0,62,62
13:20:00,0,0,0,0,0,0,0,62,62
13:25:00,0,0,0,0,0,0,0,62,62
13:30:00,30,0,0,0,0,0,0,62,92
13:35:00,30,0,0,0,0,0,0,62,92
13:40:00,30,0,0,0,0,0,0,62,92
13:45:00,30,0,0,0,0,0,0,62,92
13:50:00,30,80,0,0,0,0,0,62,172
13:55:00,30,251,0,0,0,0,0,62,343
14:00:00,30,242,0,0,0,0,0,62,334
14:05:00,30,242,0,0,0,0,0,62,334
14:10:00,30,234,0,0,0,0,0,62,326
14:15:00,30,160,0,0,0,0,0,62,252
14:20:00,30,0,0,0,0,0,0,62,92
14:25:00,90,0,0,0,0,0,0,62,152
14:30:00,90,0,0,0,0,0,0,62,152
14:35:00,150,0,0,0,0,0,0,62,212
14:40:00,150,0,0,0,0,0,0,62,212
14:45:00,200,0,0,0,0,0,0,62,262
14:50:00,200,0,0,0,0,0,0,62,262
14:55:00,250,0,0,0,0,0,0,62,312
15:00:00,190,80,0,0,0,0,0,62,332
15:05:00,190,251,0,0,0,0,0,62,503
15:10:00,190,242,0,0,0,0,0,62,494
15:15:00,160,242,0,0,0,0,0,62,464
15:20:00,160,234,0,0,0,0,0,62,456
15:25:00,160,160,0,0,0,0,0,62,382
15:30:00,160,0,0,0,0,0,0,62,222
15:35:00,110,0,0,0,0,0,0,62,172
15:40:00,110,0,0,0,0,0,0,62,172
15:45:00,110,0,0,0,0,0,0,62,172
15:50:00,110,0,0,0,0,0,0,62,172
15:55:00,315,0,0,0,0,0,0,62,377
16:00:00,315,0,0,0,0,0,0,62,377
16:05:00,315,0,0,0,0,0,0,62,377
16:10:00,315,80,1600,0,0,0,0,62,2057
16:15:00,255,251,1600,0,0,0,0,62,2168
16:20:00,255,242,1600,0,0,0,0,62,2159
16:25:00,255,242,1600,0,0,0,0,62,2159
16:30:00,285,890,1600,0,0,0,0,62,2837
16:35:00,285,80,0,0,0,0,0,62,427
16:40:00,30,0,0,0,0,0,0,62,92
16:45:00,30,0,0,0,0,0,0,62,92
16:50:00,130,0,0,0,0,0,0,62,192
16:55:00,130,0,0,0,0,0,0,62,192
17:00:00,130,80,0,0,0,0,0,62,272
17:05:00,190,251,0,0,0,0,0,62,503
17:10:00,290,259,0,0,0,0,0,1062,1611
17:15:00,350,251,0,0,0,0,0,1062,1663
17:20:00,450,242,0,0,0,0,0,1062,1754
17:25:00,450,242,0,0,0,0,0,1062,1754
17:30:00,450,234,0,0,0,0,0,1062,1746
17:35:00,500,242,0,0,0,0,0,1062,1804
17:40:00,400,234,1600,0,0,0,0,1062,3296
17:45:00,500,201,1600,0,0,0,0,1062,3363
17:50:00,560,80,1600,0,0,0,0,1062,3302
17:55:00,560,0,1600,0,0,0,0,1062,3222
18:00:00,560,0,1600,0,0,0,0,1062,3222
18:05:00,560,0,0,0,0,0,0,1062,1622
18:10:00,560,0,0,0,0,0,0,1062,1622
18:15:00,560,0,0,0,0,0,0,1062,1622
18:20:00,560,0,1600,0,0,0,0,62,2222
18:25:00,500,0,1600,0,0,0,0,62,2162
18:30:00,500,80,1600,0,0,0,0,62,2242
18:35:00,705,251,1600,0,0,0,0,62,2618
18:40:00,665,242,1600,0,0,0,0,92,2599
18:45:00,695,242,0,0,0,0,0,92,1029
18:50:00,490,234,0,0,0,0,0,92,816
18:55:00,540,160,0,0,0,0,0,92,792
19:00:00,580,0,0,0,0,0,0,92,672
19:05:00,450,0,0,0,0,0,0,92,542
19:10:00,290,0,0,0,0,0,0,92,382
19:15:00,220,0,0,0,0,0,0,92,312
19:20:00,200,0,0,0,0,0,0,92,292
19:25:00,405,0,0,0,0,0,0,92,497
19:30:00,465,0,0,0,0,0,0,132,597
19:35:00,465,0,0,0,0,0,0,382,847
19:40:00,310,80,0,0,0,0,0,382,772
19:45:00,310,251,0,0,0,0,0,132,693
19:50:00,310,242,0,0,0,0,0,132,684
19:55:00,250,242,0,0,0,0,0,132,624
20:00:00,250,234,0,0,0,0,0,132,616
20:05:00,250,160,0,0,0,0,0,132,542
20:10:00,250,0,0,0,0,0,0,132,382
20:15:00,200,0,0,0,0,0,0,102,302
20:20:00,250,0,0,0,0,0,0,62,312
20:25:00,250,0,0,0,0,0,0,62,312
20:30:00,250,0,0,0,0,0,0,62,312
20:35:00,260,0,0,0,0,0,0,62,322
20:40:00,260,0,0,0,0,0,0,62,322
20:45:00,230,0,0,0,0,0,0,62,292
