,Lights,Refrigerator,Kitchen stove,Dishwasher,Washer,Dryer,Freezer,Other Appliances,Total (5 min)
Time,Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),Power (W)
0:00:00,0,242,0,0,0,0,0,162,404
0:05:00,0,234,0,0,0,0,0,162,396
0:10:00,0,160,0,0,0,0,0,162,322
0:15:00,0,0,0,0,0,0,0,162,162
0:20:00,0,0,0,0,0,0,0,162,162
0:25:00,0,0,0,0,0,0,0,162,162
0:30:00,0,0,0,0,0,0,0,162,162
0:35:00,0,0,0,0,0,0,0,162,162
0:40:00,0,0,0,0,0,0,61,262,323
0:45:00,0,0,0,0,0,0,191,262,453
0:50:00,0,0,0,0,0,0,185,262,447
0:55:00,0,80,0,0,0,0,185,262,526
1:00:00,0,251,0,0,0,0,178,62,491
1:05:00,0,242,0,0,0,0,122,62,426
1:10:00,0,242,0,0,0,0,0,62,304
1:15:00,0,234,0,0,0,0,0,62,296
1:20:00,0,160,0,0,0,0,0,62,222
1:25:00,0,0,0,0,0,0,0,62,62
1:30:00,0,0,0,0,0,0,0,242,242
1:35:00,0,0,0,0,0,0,0,242,242
1:40:00,0,0,0,0,0,0,0,242,242
1:45:00,0,0,0,0,0,0,0,242,242
1:50:00,0,0,0,0,0,0,61,242,303
1:55:00,0,0,0,0,0,0,191,62,253
2:00:00,0,0,0,0,0,0,185,312,497
2:05:00,0,80,0,0,0,0,185,62,326
2:10:00,0,251,0,0,0,0,178,62,491
2:15:00,0,242,0,0,0,0,122,62,426
2:20:00,0,242,0,0,0,0,0,62,304
2:25:00,0,234,0,0,0,0,0,62,296
2:30:00,0,160,0,0,0,0,0,62,222
2:35:00,0,0,0,0,0,0,0,62,62
2:40:00,0,0,0,0,0,0,0,62,62
2:45:00,0,0,0,0,0,0,0,62,62
2:50:00,0,0,0,0,0,0,0,62,62
2:55:00,0,0,0,0,0,0,0,62,62
3:00:00,0,0,0,0,0,0,61,62,123
3:05:00,0,0,0,0,0,0,191,62,253
3:10:00,0,0,0,0,0,0,185,62,247
3:15:00,0,80,0,0,0,0,185,62,326
3:20:00,0,251,0,0,0,0,178,62,491
3:25:00,0,242,0,0,0,0,122,62,426
3:30:00,0,242,0,0,0,0,0,62,304
3:35:00,0,234,0,0,0,0,0,62,296
3:40:00,0,160,0,0,0,0,0,62,222
3:45:00,0,0,0,0,0,0,0,62,62
3:50:00,0,0,0,0,0,0,0,62,62
3:55:00,0,0,0,0,0,0,0,62,62
4:00:00,0,0,0,0,0,0,0,62,62
4:05:00,0,0,0,0,0,0,0,62,62
4:10:00,0,0,0,0,0,0,61,62,123
4:15:00,0,0,0,0,0,0,191,62,253
4:20:00,0,0,0,0,0,0,185,62,247
4:25:00,0,80,0,0,0,0,185,1062,1326
4:30:00,0,251,0,0,0,0,178,1062,1491
4:35:00,0,242,0,0,0,0,122,1062,1426
4:40:00,0,242,0,0,0,0,0,1062,1304
4:45:00,0,234,0,0,0,0,0,1062,1296
4:50:00,0,160,0,0,0,0,0,1062,1222
4:55:00,0,0,0,0,0,0,0,1062,1062
5:00:00,0,0,0,0,0,0,0,1062,1062
5:05:00,0,0,0,0,0,0,0,1062,1062
5:10:00,0,0,0,0,0,0,0,1062,1062
5:15:00,120,0,0,0,0,0,0,1062,1182
5:20:00,120,0,0,0,0,0,61,1062,1243
5:25:00,120,0,0,0,0,0,191,1062,1373
5:30:00,120,0,0,0,0,0,185,1062,1367
5:35:00,120,80,0,0,0,0,185,1062,1446
5:40:00,120,251,0,0,0,0,178,1062,1611
5:45:00,120,242,0,0,0,0,122,1062,1546
5:50:00,240,242,0,0,0,0,0,1062,1544
5:55:00,240,234,0,0,0,0,0,1062,1536
6:00:00,650,160,0,0,0,0,0,1062,1872
6:05:00,650,0,0,0,0,0,0,1062,1712
6:10:00,650,0,0,0,0,0,0,1062,1712
6:15:00,650,0,0,0,0,0,0,1062,1712
6:20:00,650,0,0,0,0,0,0,1062,1712
6:25:00,240,0,0,0,0,0,0,62,302
6:30:00,360,0,0,0,0,0,61,62,483
6:35:00,460,0,0,0,0,0,191,62,713
6:40:00,560,0,0,0,0,0,185,62,807
6:45:00,560,80,0,0,0,0,185,62,886
6:50:00,560,251,0,0,0,0,178,62,1051
6:55:00,560,242,0,0,0,0,122,162,1086
7:00:00,340,242,0,0,0,0,0,162,744
7:05:00,220,234,0,0,0,0,0,962,1416
7:10:00,220,160,0,0,0,0,0,962,1342
7:15:00,220,0,0,0,0,0,0,962,1182
7:20:00,220,0,0,0,0,0,0,962,1182
7:25:00,340,0,0,0,0,0,0,962,1302
7:30:00,340,0,0,0,0,0,0,962,1302
7:35:00,340,0,0,0,0,0,0,862,1202
7:40:00,750,0,0,0,0,0,61,862,1673
7:45:00,750,0,0,0,0,0,191,862,1803
7:50:00,750,0,0,0,0,0,185,862,1797
7:55:00,220,80,0,0,0,0,185,862,1346
8:00:00,220,251,0,0,0,0,178,62,711
8:05:00,220,242,0,0,0,0,122,62,646
8:10:00,220,242,0,0,0,0,0,62,524
8:15:00,220,234,0,0,0,0,0,62,516
8:20:00,120,160,0,0,0,0,0,62,342
8:25:00,120,0,0,0,0,0,0,62,182
8:30:00,120,0,0,0,0,0,0,62,182
8:35:00,120,0,0,0,0,0,0,62,182
8:40:00,120,0,0,0,0,0,0,62,182
8:45:00,0,0,0,0,0,0,0,62,62
8:50:00,0,0,0,0,0,0,61,62,123
8:55:00,0,0,0,0,0,0,191,62,253
9:00:00,410,0,0,0,0,0,185,62,657
9:05:00,410,80,0,0,0,0,185,62,736
9:10:00,410,251,0,0,0,0,178,62,901
9:15:00,530,242,0,0,0,0,122,62,956
9:20:00,530,242,0,0,0,0,0,62,834
9:25:00,530,234,0,0,0,0,0,62,826
9:30:00,630,160,0,0,0,0,0,62,852
9:35:00,630,0,0,0,0,0,0,62,692
9:40:00,630,0,0,0,0,0,0,162,792
9:45:00,630,0,0,0,0,0,0,162,792
9:50:00,220,0,0,0,0,0,0,162,382
9:55:00,220,0,0,0,0,0,0,162,382
10:00:00,220,0,0,0,0,0,61,162,443
10:05:00,220,0,0,0,0,0,191,162,573
10:10:00,220,0,0,0,0,0,185,162,567
10:15:00,100,80,0,0,0,0,185,162,526
10:20:00,100,251,0,0,0,0,178,162,691
10:25:00,100,242,0,0,0,0,122,162,626
10:30:00,100,242,0,0,0,0,0,162,504
10:35:00,100,234,0,0,0,0,0,162,496
10:40:00,160,160,0,0,0,0,0,162,482
10:45:00,160,0,0,0,0,0,0,162,322
10:50:00,160,0,0,0,0,0,0,62,222
10:55:00,160,0,0,0,0,0,0,92,252
11:00:00,160,0,0,0,0,0,0,92,252
11:05:00,160,0,0,0,0,0,0,92,252
11:10:00,60,0,0,0,0,0,61,92,213
11:15:00,260,0,0,0,0,0,191,92,543
11:20:00,260,0,0,0,0,0,185,92,537
11:25:00,260,80,0,0,0,0,185,92,616
11:30:00,260,251,0,0,0,0,178,92,781
11:35:00,260,242,0,0,0,0,122,92,716
11:40:00,200,242,0,0,0,0,0,92,534
11:45:00,200,234,0,0,0,0,0,92,526
11:50:00,200,160,0,0,0,0,0,92,452
11:55:00,260,0,0,0,0,0,0,1092,1352
12:00:00,260,0,0,0,0,0,0,1092,1352
12:05:00,260,0,0,0,0,0,0,1092,1352
12:10:00,260,0,0,0,0,0,0,1092,1352
12:15:00,260,0,0,0,0,0,0,92,352
12:20:00,260,0,0,0,0,0,61,242,563
12:25:00,260,0,0,0,0,0,191,242,693
12:30:00,260,0,0,0,0,0,185,242,687
12:35:00,260,80,0,0,0,0,185,62,586
12:40:00,260,251,0,0,0,0,178,92,781
12:45:00,260,242,0,0,0,0,122,122,746
12:50:00,260,242,0,0,0,0,0,122,624
12:55:00,260,234,0,0,0,0,0,122,616
13:00:00,260,160,0,0,0,0,0,122,542
13:05:00,260,0,0,0,0,0,0,122,382
13:10:00,260,0,0,0,0,0,0,122,382
13:15:00,60,0,0,0,0,0,0,122,182
13:20:00,60,0,0,0,0,0,0,122,182
13:25:00,60,0,0,0,0,0,0,122,182
13:30:00,60,0,0,0,0,0,61,122,243
13:35:00,60,0,0,0,0,0,191,122,373
13:40:00,60,0,0,0,0,0,185,122,367
13:45:00,0,80,0,0,0,0,185,122,386
13:50:00,0,251,0,0,0,0,679,122,1051
13:55:00,0,242,0,0,0,0,61,122,425
14:00:00,0,242,0,0,0,0,0,122,364
14:05:00,0,234,0,0,0,0,0,122,356
