*title,can_gen_med_y1,,,,,,,,
*note,Each row corresponds to 5 minutes. The first row starts Jan 1 12:00,,,,,,,,
*header,Lights,Refrigerator,Kitchen_stove,Dishwasher,Washer,Dryer,Freezer,Other_appliances,
*units,Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),
*data,0,160,1600,0,0,0,0,317,2077
*data,0,0,1600,0,0,0,0,417,2017
*data,0,0,1600,0,0,0,0,417,2017
*data,0,0,1600,0,0,0,0,417,2017
*data,0,0,1600,0,0,0,0,417,2017
*data,0,0,1600,0,0,0,61,417,2078
*data,0,0,1600,0,0,0,191,417,2208
*data,0,0,1600,0,0,0,185,417,2202
*data,0,0,0,0,0,0,185,417,602
*data,0,80,0,0,0,0,178,417,675
*data,0,251,0,0,0,0,122,417,790
*data,0,242,0,0,0,0,0,167,409
*data,0,242,0,0,0,0,0,167,409
*data,0,234,0,0,0,0,0,67,301
*data,0,160,0,0,0,0,0,247,407
*data,0,0,0,0,0,0,0,242,242
*data,0,0,0,0,0,0,0,242,242
*data,0,0,0,0,0,0,0,242,242
*data,0,0,0,0,0,0,0,242,242
*data,0,0,1600,0,0,0,61,242,1903
*data,0,0,1600,0,0,0,191,242,2033
*data,0,0,1600,0,0,0,185,272,2057
*data,0,0,1600,0,0,0,185,272,2057
*data,0,80,1600,0,0,0,178,242,2100
*data,0,251,1600,0,0,0,122,242,2215
*data,0,242,1600,0,0,0,0,242,2084
*data,0,242,1600,0,0,0,0,242,2084
*data,0,234,1600,0,0,0,0,242,2076
*data,0,160,1600,0,0,0,0,242,2002
*data,0,0,1600,0,0,0,0,242,1842
*data,0,0,1600,0,0,0,0,242,1842
*data,0,0,1600,0,0,0,0,242,1842
*data,0,0,1600,0,0,0,0,242,1842
*data,0,0,0,0,0,0,61,242,303
*data,0,0,0,0,0,0,191,242,433
*data,100,0,0,0,0,0,185,242,527
*data,100,0,0,0,0,0,185,62,347
*data,100,80,0,0,0,0,178,62,420
*data,160,251,0,0,0,0,122,62,595
*data,160,242,0,0,0,0,0,62,464
*data,160,242,0,0,0,0,0,62,464
*data,160,234,0,0,0,0,0,62,456
*data,160,160,0,0,0,0,0,62,382
*data,160,0,0,0,0,0,0,62,222
*data,160,0,0,0,0,0,0,62,222
*data,160,0,0,0,0,0,0,62,222
*data,160,0,0,0,0,0,0,62,222
*data,570,0,0,0,0,0,61,162,793
*data,570,0,0,0,0,0,191,162,923
*data,160,0,0,0,0,0,185,162,507
*data,160,0,0,0,0,0,185,162,507
*data,60,80,0,0,0,0,178,162,480
*data,60,251,0,0,0,0,122,162,595
*data,260,242,0,0,0,0,0,162,664
*data,260,242,0,0,0,0,0,162,664
*data,260,234,0,0,0,0,0,162,656
*data,260,160,0,0,0,0,0,162,582
*data,460,0,0,0,0,0,0,62,522
*data,870,0,0,0,0,0,0,62,932
*data,870,0,0,0,0,0,0,62,932
*data,810,0,0,0,0,0,0,62,872
*data,810,0,0,0,0,0,61,62,933
*data,930,0,0,0,0,0,191,62,1183
*data,930,0,0,0,0,0,185,62,1177
*data,930,0,0,0,0,0,185,62,1177
*data,930,80,0,0,0,0,178,62,1250
*data,930,251,0,0,0,0,122,62,1365
*data,930,242,0,0,0,0,0,62,1234
*data,930,242,0,0,0,0,0,62,1234
*data,730,234,0,0,0,0,0,62,1026
*data,730,160,0,0,0,0,0,62,952
*data,730,0,0,0,0,0,0,62,792
*data,610,0,0,0,0,0,0,62,672
*data,610,0,0,0,0,0,0,62,672
*data,710,0,0,0,0,0,0,62,772
*data,910,0,0,0,0,0,61,62,1033
*data,500,0,0,0,0,0,191,162,853
*data,500,0,0,0,0,0,185,162,847
*data,600,0,0,0,0,0,185,162,947
*data,600,80,0,0,0,0,178,162,1020
*data,600,251,0,0,0,0,122,162,1135
*data,660,242,0,0,0,0,0,162,1064
*data,660,242,0,0,0,0,0,162,1064
*data,660,234,0,0,0,0,0,162,1056
*data,460,160,0,0,0,0,0,162,782
*data,460,0,0,0,0,0,0,182,642
*data,460,0,0,0,0,0,0,182,642
*data,460,0,0,0,0,0,0,182,642
*data,460,0,0,0,0,0,0,182,642
*data,560,0,0,0,0,0,61,282,903
*data,560,0,0,0,0,0,191,282,1033
*data,560,0,0,0,0,0,185,282,1027
*data,620,0,0,0,0,0,185,282,1087
*data,620,80,0,0,0,0,178,162,1040
*data,520,251,0,0,0,0,122,162,1055
*data,420,242,0,0,0,0,0,162,824
*data,420,242,0,0,0,0,0,162,824
*data,620,234,0,0,0,0,0,162,1016
*data,620,160,0,0,0,0,0,162,942
*data,520,0,0,0,0,0,0,162,682
*data,460,0,0,0,0,0,0,162,622
*data,460,0,0,0,0,0,0,162,622
*data,460,0,0,0,0,0,0,162,622
*data,400,0,0,0,0,0,61,192,653
*data,400,0,0,0,0,0,191,192,783
*data,400,0,0,0,0,0,185,92,677
*data,400,0,0,0,0,0,185,92,677
*data,400,80,0,0,0,0,178,92,750
*data,400,251,0,0,0,0,122,92,865
*data,400,242,0,0,0,0,0,342,984
*data,400,242,0,0,505,0,0,342,1489
*data,400,234,0,0,505,0,0,342,1481
*data,400,160,0,0,505,0,0,342,1407
*data,400,0,0,0,0,0,0,342,742
*data,400,0,0,0,0,0,0,342,742
*data,610,0,0,0,505,0,0,92,1207
*data,610,0,0,0,505,0,0,92,1207
*data,610,0,0,0,505,0,61,92,1268
*data,610,0,0,0,0,0,191,62,863
*data,410,0,0,0,0,0,185,62,657
*data,410,0,0,0,0,0,185,62,657
*data,410,80,0,0,0,0,178,62,730
*data,410,251,0,0,0,0,122,62,845
*data,410,242,0,0,0,0,0,62,714
*data,410,242,0,0,0,4115,0,62,4830
*data,410,234,0,0,0,4115,0,62,4821
*data,410,160,0,0,0,4115,0,62,4747
*data,410,0,0,0,0,4115,0,62,4587
*data,410,0,0,0,0,4115,0,62,4587
*data,410,0,0,0,0,4115,0,62,4587
*data,410,0,0,0,0,0,0,62,472
*data,410,0,0,0,0,0,61,62,533
*data,410,0,0,0,0,4115,191,62,4778
*data,410,0,0,0,0,4115,185,62,4772
*data,410,0,0,0,0,4115,185,62,4772
*data,410,80,0,0,0,4115,178,62,4845
*data,410,251,0,0,0,4115,122,62,4960
*data,410,242,0,0,0,4115,0,312,5080
*data,0,242,0,0,0,4115,0,312,4670
*data,0,234,0,0,0,4115,0,342,4691
*data,0,160,0,0,0,4115,0,342,4617
*data,0,0,0,0,0,4115,0,342,4457
*data,0,0,0,0,0,4115,0,342,4457
*data,0,0,0,0,0,0,0,342,342
*data,0,0,0,0,0,0,0,62,62
*data,0,0,0,0,0,0,61,62,123
*data,200,0,0,0,0,0,191,62,453
*data,200,0,0,0,0,0,185,62,447
*data,200,80,0,0,0,0,185,62,526
*data,200,251,0,0,0,0,178,62,691
*data,200,242,0,0,0,0,122,162,726
*data,200,242,0,0,0,0,0,162,604
*data,200,234,0,0,0,0,0,162,596
*data,200,160,0,0,0,0,0,162,522
*data,200,0,0,0,0,0,0,162,362
*data,200,0,0,0,0,0,0,162,362
*data,200,0,0,0,0,0,0,162,362
*data,200,0,0,0,0,0,0,162,362
*data,0,0,0,0,0,0,0,162,162
*data,0,0,0,0,0,0,61,162,223
*data,0,0,0,0,0,0,191,162,353
*data,0,0,0,0,0,0,185,162,347
*data,0,80,0,0,0,0,185,62,326
*data,0,251,0,0,0,0,178,62,491
*data,0,242,0,0,0,0,122,62,426
*data,0,242,0,0,0,0,0,62,304
*data,0,234,0,0,0,0,0,62,296
*data,0,160,0,0,0,0,0,67,227
*data,0,0,0,0,0,0,0,67,67
*data,0,0,0,0,0,0,0,167,167
*data,0,0,0,0,0,0,0,167,167
*data,0,0,0,0,0,0,0,167,167
*data,0,0,0,0,0,0,0,167,167
*data,0,0,0,0,0,0,61,167,228
*data,0,0,0,0,0,0,191,167,358
*data,0,0,0,0,0,0,185,162,347
*data,0,80,0,0,0,0,185,162,426
*data,0,251,0,0,0,0,178,192,621
*data,0,242,0,0,0,0,122,192,556
*data,100,242,0,0,0,0,0,192,534
*data,100,234,0,0,0,0,0,192,526
*data,0,160,0,0,0,0,0,192,352
*data,0,0,0,0,0,0,0,192,192
*data,0,0,0,0,0,0,0,222,222
*data,0,0,0,0,0,0,0,222,222
*data,0,0,0,0,0,0,0,222,222
*data,0,0,0,0,0,0,0,222,222
*data,0,0,0,0,0,0,61,122,183
*data,0,0,0,0,0,0,191,122,313
*data,0,0,0,0,0,0,185,122,307
*data,0,80,0,0,0,0,185,122,386
*data,0,251,0,0,0,0,178,127,556
*data,0,242,0,0,0,0,122,127,491
*data,0,242,0,0,0,0,0,127,369
*data,0,234,0,0,0,0,0,127,361
*data,0,160,0,0,0,0,0,127,287
*data,0,0,0,0,0,0,0,127,127
*data,0,0,0,0,0,0,0,127,127
*data,0,0,0,0,0,0,0,127,127
*data,0,0,0,0,0,0,0,97,97
*data,100,0,0,0,0,0,0,97,197
*data,100,0,0,0,0,0,61,67,228
*data,100,0,0,0,0,0,191,67,358
*data,100,0,0,0,0,0,185,67,352
*data,100,80,0,0,0,0,185,67,431
*data,100,251,0,0,0,0,178,67,596
*data,100,242,0,0,0,0,122,97,561
*data,100,242,0,0,0,0,0,97,439
*data,100,234,0,0,0,0,0,97,431
*data,100,160,0,0,0,0,0,97,357
*data,0,0,0,0,0,0,0,92,92
*data,0,0,0,0,0,0,0,92,92
*data,0,0,0,0,0,0,0,92,92
*data,0,0,0,0,0,0,0,92,92
*data,0,0,0,0,0,0,0,92,92
*data,0,0,0,0,0,0,61,92,153
*data,0,0,0,0,0,0,191,92,283
*data,0,0,0,0,0,0,185,92,277
*data,0,80,0,0,0,0,185,92,356
*data,0,251,0,0,0,0,178,92,521
*data,0,242,0,0,0,0,122,342,706
*data,0,242,0,0,0,0,0,312,554
*data,0,234,0,0,0,0,0,312,546
*data,0,160,0,0,0,0,0,312,472
*data,120,0,0,0,0,0,0,312,432
*data,120,0,0,0,0,0,0,312,432
*data,120,0,0,0,0,0,0,312,432
*data,120,0,0,0,0,0,0,312,432
*data,0,0,0,0,0,0,0,312,312
*data,0,0,0,0,0,0,61,312,373
