INTEGRATED ENERGY FLOW DATA
Metric, Units,Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec, Annual total, ,Description ,
system : building : all_zones : insolation : adverse : , GJ, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.565837, 0.693546, 0.701471, 0.423598, 0.000000, 0.000000, 0.000000, 2.384451, , Solar gains admitted through glazing that increase cooling loads (all zones).
system : building : all_zones : insolation : total : , GJ, 0.674810, 0.715669, 0.858044, 0.706662, 0.703931, 0.660617, 0.693546, 0.701471, 0.749601, 0.711268, 0.512339, 0.567306, 8.255265, , Total solar gains admitted through glazing (all zones).
system : building : all_zones : insolation : useful : , GJ, 0.674810, 0.715669, 0.826611, 0.022315, 0.000000, 0.012403, 0.000000, 0.003959, 0.010633, 0.396118, 0.477097, 0.567306, 3.706921, , Solar gains admitted through glazing that supplant heating loads (all zones).
system : building : all_zones : internal_gains : adverse : , GJ, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 2.058929, 2.363956, 2.363956, 1.220106, 0.000000, 0.000000, 0.000000, 8.006947, , Sensible heat transfer from occupants, lights and equipment that increase cooling loads (all zones).
system : building : all_zones : internal_gains : total : , GJ, 2.363956, 2.135186, 2.363956, 2.287699, 2.363956, 2.287699, 2.363956, 2.363956, 2.287699, 2.363956, 2.287699, 2.363956, 27.833673, , Sensible heat transfer from occupants, lights and equipment (all zones).
system : building : all_zones : internal_gains : useful : , GJ, 2.269104, 2.100391, 2.330592, 0.068154, 0.000000, 0.255619, 0.000000, 0.067518, 0.118832, 1.711328, 2.253224, 2.349180, 13.523942, , Sensible heat transfer from occupants, lights and equipment that supplant heating loads (all zones).
system : building : all_zones : supplied_energy : cooling : , GJ, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.966855, 1.807566, 1.341758, 0.601950, 0.000000, 0.000000, 0.000000, 4.718129, , Total amount of cooling supplied to the building (all zones).
system : building : all_zones : supplied_energy : heating : , GJ, 24.917018, 19.824398, 17.635421, 0.367525, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 6.152324, 13.230210, 21.195388, 103.322283, , Total amount of heat supplied to the building (all zones).
system : building : all_zones : supplied_energy : net_flux : , GJ, 24.917018, 19.824398, 17.635421, 0.367525, 0.000000, -0.966855, -1.807566, -1.341758, -0.601950, 6.152324, 13.230210, 21.195388, 98.604154, , Net heat/cooling supplied to the building (all zones).
system : building : all_zones : thermal_loads : cooling : total : , GJ, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.966855, 1.807566, 1.341758, 0.601950, 0.000000, 0.000000, 0.000000, 4.718129, , Total cooling load ( heat gain through envelope +  ventilation and infiltration loads; all zones )
system : building : all_zones : thermal_loads : heating : total : , GJ, 27.860932, 22.640458, 20.792624, 0.457995, 0.000000, 0.268022, 0.000000, 0.071477, 0.129465, 8.259769, 15.960531, 24.111874, 120.553146, , Total heating load ( heat loss through envelope +  ventilation and infiltration loads; all zones)
system : building : all_zones : thermal_loads : net : , GJ, 27.860932, 22.640458, 20.792624, 0.457995, 0.000000, -0.698833, -1.807566, -1.270281, -0.472485, 8.259769, 15.960531, 24.111874, 115.835016, , Total net load ( heat gain through envelope +  ventilation and infiltration loads; all zones )
