building:zone 01:air point:temperature (oC), building:zone 01:interior convection:casual (W), building:zone 01:interior convection:opaque (W), building:zone 01:interior convection:transparent (W), building:zone 01:supplied energy:net (W), building:zone 02:air point:temperature (oC), building:zone 02:interior convection:casual (W), building:zone 02:interior convection:opaque (W), building:zone 02:interior convection:transparent (W), building:zone 02:supplied energy:net (W), climate:dry bulb temperature (oC), plant:ideal hvac models:component 01 furnace:fuel use:energy input:heating (W), plant:ideal hvac models:component 01 furnace:thermal output:heating (W), plant:ideal hvac models:component 02 air source heat pump:fuel use:energy input:heating (W), plant:ideal hvac models:component 02 air source heat pump:thermal output:heating (W), 
19.819510, 236.95100, -879.62140, -228.33420, 1228.0200, 17.763035, 200.02499, -829.74365, -117.06149, 818.67999, 1.1000000, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
20.016869, 344.75101, -967.63800, -225.76463, 1228.0200, 17.798738, 321.29999, -952.06726, -112.61993, 818.67999, 1.1000000, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
20.184139, 483.91101, -1050.1595, -246.56340, 1228.0200, 17.897629, 477.85501, -1058.6946, -124.12459, 818.67999, 1.1000000, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
19.979477, 302.99500, -977.60944, -238.55136, 1228.0200, 17.919752, 340.20001, -968.22894, -115.98856, 818.67999, 1.1000000, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
19.894972, 226.83501, -867.51349, -204.85463, 1228.0200, 18.071938, 254.52000, -842.40564, -94.770622, 818.67999, 1.7000000, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
20.579216, 201.91499, -825.53131, -147.92056, 1228.0200, 18.814613, 226.48500, -792.80511, -47.757389, 818.67999, 2.8000000, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
21.000000, 164.11501, -629.11200, -98.483223, 920.40631, 19.504288, 183.96001, -610.52777, -23.653824, 613.60419, 2.8000000, 1629.4653, 1198.6758, 138.60240, 290.42758, 
21.000000, 306.98502, -450.08548, -117.80348, 604.03467, 19.456541, 166.63499, -437.63144, -46.840286, 402.68979, 2.8000000, 382.02704, 255.61246, 300.52982, 706.04132, 
21.000000, 734.65002, -375.59268, -162.91046, 137.44879, 19.112059, 201.28500, -112.74655, -87.759811, 91.632523, 2.8000000, 0.0000000, 0.0000000, 106.86509, 217.09346, 
20.481218, 115.39500, -239.23781, -165.36238, 535.44702, 18.981853, 129.14999, -265.18991, -94.669823, 356.96466, 2.2000000, 89.529320, 34.484169, 338.76663, 812.28516, 
21.000000, 96.635002, -452.69275, -192.14030, 1082.0581, 19.028294, 108.04500, -614.02295, -102.31098, 721.37207, 2.2000000, 2220.4719, 1645.4767, 60.955338, 113.34157, 
21.000000, 132.19501, -679.85773, -225.51924, 1013.9139, 18.965126, 148.05000, -579.15869, -113.56452, 675.94257, 1.1000000, 1981.6436, 1464.9226, 91.896851, 180.84399, 
21.000000, 429.31100, -766.81683, -244.47174, 1169.6107, 19.032387, 416.42999, -892.87683, -122.54956, 779.74048, 0.60000002, 2522.9932, 1874.1829, 21.639666, 29.721422, 
21.000000, 580.51099, -787.71057, -237.94557, 686.43732, 19.116049, 586.52997, -779.55524, -120.52107, 457.62485, 0.60000002, 822.38318, 588.52173, 236.34586, 511.36853, 
21.000000, 475.23099, -830.08435, -245.03337, 1187.1852, 19.128119, 468.09000, -954.50696, -123.29933, 791.45679, 0.0000000, 2581.7283, 1918.5867, 14.100218, 14.423763, 
21.000000, 595.91101, -871.67456, -256.28372, 878.67859, 19.111757, 603.85498, -805.98633, -131.21538, 585.78571, -0.60000002, 1542.4877, 1132.9208, 144.26379, 287.73727, 
20.640478, 394.16699, -803.19550, -262.36768, 1228.0200, 19.009901, 378.94501, -828.02441, -138.12883, 818.67999, -1.1000000, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
20.753933, 301.48700, -904.13324, -273.12656, 1228.0200, 18.871698, 274.67999, -781.37030, -139.03427, 818.67999, -2.2000000, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
20.119259, 214.96701, -779.84412, -259.58398, 1228.0200, 18.644545, 177.34500, -641.93127, -136.09911, 818.67999, -2.8000000, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
19.514677, 115.84700, -662.07349, -270.21198, 1228.0200, 18.297325, 65.834999, -447.64868, -145.70786, 818.67999, -4.4000001, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
18.899134, 122.00700, -588.22736, -282.35220, 1228.0200, 17.922115, 72.764999, -362.73138, -157.09717, 818.67999, -5.5999999, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
18.621923, 172.40701, -625.94836, -294.75089, 1228.0200, 17.637781, 129.46500, -433.91321, -165.87448, 818.67999, -7.1999998, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
18.156128, 146.64700, -623.95831, -303.32007, 1228.0200, 17.312691, 100.48500, -366.15143, -172.48232, 818.67999, -8.3000002, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
17.676971, 146.08701, -603.89209, -304.40955, 1228.0200, 16.959375, 99.855003, -378.64575, -174.77803, 818.67999, -8.8999996, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
17.192904, 145.39099, -585.95160, -301.39749, 1228.0200, 16.577265, 97.020004, -282.73483, -179.18793, 818.67999, -8.8999996, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
16.865784, 223.23100, -616.20142, -311.76447, 1228.0200, 16.247164, 184.59000, -390.05984, -189.89014, 818.67999, -9.3999996, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
16.578323, 179.27100, -629.01642, -313.75952, 1228.0200, 15.994848, 135.13499, -328.67239, -189.80646, 818.67999, -10.600000, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
16.272753, 92.154999, -500.02783, -275.50739, 1228.0200, 16.166462, 103.00500, -195.29121, -155.60426, 818.67999, -10.600000, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
16.929766, 105.59500, -447.92755, -206.40118, 1228.0200, 17.068892, 118.12500, -175.84964, -93.145378, 818.67999, -9.3999996, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
18.980068, 476.31500, -673.22247, -140.73293, 1228.0200, 18.449474, 535.18500, -641.70465, -35.392796, 818.67999, -8.3000002, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
20.234463, 200.23500, -689.04504, -124.13846, 1228.0200, 19.352314, 224.59500, -479.62714, -36.351662, 818.67999, -7.8000002, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
20.737007, 159.91499, -530.17169, -140.59645, 1228.0200, 19.640995, 179.23500, -458.77258, -63.471565, 818.67999, -7.1999998, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
21.000000, 193.23500, -342.84470, -171.97803, 846.66388, 19.623386, 216.72000, -281.02710, -109.12552, 564.44257, -6.6999998, 1568.0565, 1152.2507, 128.64380, 215.01552, 
21.000000, 153.75500, -284.22174, -214.79280, 1023.8093, 19.357176, 172.30501, -314.97897, -149.99838, 682.53949, -6.0999999, 2101.8611, 1555.8070, 68.160225, 105.97550, 
21.000000, 102.23500, -407.58368, -262.40369, 1038.2834, 19.129215, 114.34500, -339.11627, -183.55508, 692.18896, -6.6999998, 2139.8076, 1584.4945, 64.178108, 100.62911, 
20.653105, 183.15500, -514.01160, -307.79156, 1228.0200, 18.996761, 205.38000, -469.31763, -192.78574, 818.67999, -7.1999998, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
20.419127, 290.15100, -642.05841, -345.99228, 1228.0200, 18.866735, 259.87500, -523.16138, -200.14374, 818.67999, -7.8000002, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
20.160084, 434.35101, -723.70258, -349.55539, 1228.0200, 18.741947, 422.10001, -633.94702, -206.51541, 818.67999, -8.3000002, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
21.000000, 956.72607, -1078.6232, -373.26956, 1212.0842, 18.617273, 385.24500, -733.03687, -206.64272, 808.05615, -8.3000002, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
20.987652, 775.00598, -1190.6499, -376.84772, 1228.0200, 18.472153, 448.56000, -801.74988, -207.16081, 818.67999, -8.3000002, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
19.639452, 349.08701, -792.87634, -354.21887, 1228.0200, 18.224829, 328.23001, -661.23199, -210.62553, 818.67999, -8.8999996, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
19.030983, 286.92700, -711.30878, -337.80981, 1228.0200, 17.896364, 258.29999, -561.79932, -201.70490, 818.67999, -9.3999996, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
18.606895, 236.80701, -739.08649, -321.05203, 1228.0200, 17.599108, 201.91501, -532.08252, -191.70689, 818.67999, -9.3999996, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
18.152554, 263.12701, -742.13031, -318.17392, 1228.0200, 17.308451, 231.52499, -533.28821, -193.51627, 818.67999, -9.3999996, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
17.614906, 159.52701, -717.88892, -317.62936, 1228.0200, 16.947887, 114.97500, -447.51321, -195.68066, 818.67999, -9.3999996, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
17.298470, 328.36700, -757.36237, -328.18613, 1228.0200, 16.658028, 304.92001, -555.03241, -201.59100, 818.67999, -10.600000, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
16.991753, 279.92700, -795.34387, -333.97302, 1228.0200, 16.390577, 250.42500, -536.22864, -205.30499, 818.67999, -11.100000, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
16.226809, 150.84700, -687.03162, -322.06949, 1228.0200, 15.939288, 105.21000, -361.88519, -203.17998, 818.67999, -11.700000, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
15.861435, 225.47099, -700.75739, -327.63901, 1228.0200, 15.554407, 187.11000, -439.68680, -206.29846, 818.67999, -11.700000, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
15.616810, 238.91100, -759.50281, -317.02689, 1228.0200, 15.247311, 202.23000, -457.58606, -198.72148, 818.67999, -11.700000, 2689.4180, 2000.0000, 0.0000000, 0.0000000, 
