logistic,Bias,W1,W2,W3,W4,W5,W6,W7,W8,W9
74,-0.77444,-0.25067,0.60164,-0.21111,-0.23053,-0.8332,-0.10702,0.2436,0.68483,0.71612
75,-0.07289,0.79068,-0.42122,-0.33296,0.83914,0.3841,0.27356,-0.62772,-1.05171,0.59846
76,0.28001,0.03925,0.29766,-0.81809,0.24879,0.65074,-0.13281,-0.87193,0.39426,-0.00161
77,0.03338,0.14313,-0.73094,-0.20339,-1.07876,-1.0432,-0.06285,-0.35624,-0.44609,-0.22495
78,-0.24248,-0.51008,0.53066,-0.82659,0.61907,0.27659,-0.05542,0.53932,0.53481,0.96357
79,0.00637,-0.34649,-0.386,0.3535,0.00477,0.80659,0.56182,0.34008,0.47372,-0.73538
80,-0.53576,0.57641,-0.44815,-0.07576,-0.58934,-0.39963,0.00276,-0.68686,0.73423,-0.62607
81,-0.7221,-0.64508,-0.59118,-0.06696,0.6006,-0.74603,-0.2123,-0.98984,-0.95701,0.46247
82,-0.59786,-0.03206,-1.32848,-0.20031,-0.82768,-0.70676,-0.27269,-0.32752,0.70583,0.07952
