*header,File_Name,Attachment,Region,DHW_LpY,DHW_GJpY,DHW_energy_src,NN_DHW_System_Efficiency,AL_GJpY,AL-Dryer_GJpY,AL-Stove-Other_GJpY,stove_fuel_use,dryer_fuel_used,Clothes_Dryer,Rural_Suburb_Urban,Num_of_Adults,Num_of_Children,Employment_Ratio,HDD,Ground_Temp
*data,11GMA00031.HDF,1-SD,1-AT,66815,24.82,3,0.53,39.77,2.72,37.05,2,2,4,1,2,3,0.5,4030.8,7.9
*data,11GMA00047.HDF,1-SD,1-AT,66421,15.87,1,0.824,23.53,1.78,21.75,2,2,6,3,2,0,1,4030.8,7.9
*data,11GMA00059.HDF,1-SD,1-AT,85202,31.65,3,0.53,44.28,1.39,42.89,2,2,1.5,2,2,1,0.5,4030.8,7.9
*data,11GMA00085.HDF,1-SD,1-AT,62239,23.12,3,0.53,25.04,1.32,23.72,2,2,6,3,2,0,0.5,4030.8,7.9
*data,11GMA00088.HDF,1-SD,1-AT,96555,23.07,1,0.824,38.89,1.62,37.27,2,2,4,1,1,3,1,4030.8,7.9
*data,11GMA00114.HDF,1-SD,1-AT,60785,22.58,3,0.53,20.93,0.01,20.92,2,2,1.5,3,1,1,1,4030.8,7.9
*data,11GMA00126.HDF,1-SD,1-AT,81649,30.33,3,0.53,47.34,5.00,42.34,2,2,4,3,2,0,1,4030.8,7.9
*data,11GMA00130.HDF,1-SD,1-AT,59951,22.27,3,0.53,26.37,1.70,24.67,2,2,6,3,2,1,1,4030.8,7.9
*data,11GMA00142.HDF,1-SD,1-AT,80400,19.21,1,0.824,29.10,1.63,27.47,2,2,4,3,2,0,1,4030.8,7.9
*data,11HTA00005.HDF,1-SD,1-AT,61108,22.70,3,0.53,40.91,0.95,39.96,2,2,1.5,3,2,0,0,4030.8,7.9
*data,11HTA00017.HDF,1-SD,1-AT,81237,19.41,1,0.824,43.60,1.01,42.59,2,2,1.5,3,2,0,1,4030.8,7.9
*data,11HTA00037.HDF,1-SD,1-AT,69050,25.65,3,0.53,21.98,0,21.98,2,2,4,3,2,0,1,4030.8,7.9
*data,11HTA00058.HDF,1-SD,1-AT,71742,26.65,3,0.53,26.54,0.05,26.49,2,2,1.5,1,2,3,1,4030.8,7.9
*data,11HTA00077.HDF,1-SD,1-AT,55105,20.47,3,0.53,24.55,0.51,24.04,2,2,1.5,3,2,1,1,4030.8,7.9
*data,11HTA00085.HDF,1-SD,1-AT,81891,30.42,3,0.53,48.43,0.00,48.43,2,2,0,1,1,1,1,4030.8,7.9
*data,11HTA00093.HDF,1-SD,1-AT,58659,21.79,3,0.53,28.46,1.99,26.47,2,2,4,3,2,1,0.5,4030.8,7.9
*data,11HTA00098.HDF,1-SD,1-AT,63612,23.63,3,0.53,28.71,0.45,28.26,2,2,1.5,3,2,2,1,4030.8,7.9
*data,11HTA00113.HDF,1-SD,1-AT,76184,28.30,3,0.53,54.55,4.54,50.01,2,2,6,3,2,0,1,4030.8,7.9
*data,11HTA00135.HDF,1-SD,1-AT,94086,22.48,1,0.824,48.55,3.41,45.14,2,2,4,3,2,2,1,4030.8,7.9
*data,11HTA00137.HDF,1-SD,1-AT,74353,27.62,3,0.53,46.13,5.13,41.00,2,2,4,3,2,1,1,4030.8,7.9
*data,11HTA00145.HDF,1-SD,1-AT,81865,19.56,1,0.824,25.31,3.11,22.20,2,2,6,3,1,0,0,4030.8,7.9
*data,11HTA00156.HDF,1-SD,1-AT,59601,22.14,3,0.53,26.83,3.31,23.52,2,2,6,3,1,0,0,4030.8,7.9
*data,11JMA00035.HDF,1-SD,1-AT,62751,23.31,3,0.53,28.20,0.62,27.58,2,2,6,3,2,1,1,4030.8,7.9
*data,11JMA00088.HDF,1-SD,1-AT,69434,16.59,1,0.824,22.71,0.42,22.29,2,2,1.5,3,1,2,1,4030.8,7.9
*data,11JMA00103.HDF,1-SD,1-AT,67596,25.11,3,0.53,29.52,2.35,27.17,2,2,4,3,2,2,0,4030.8,7.9
*data,11JTA00011.HDF,1-SD,1-AT,97225,23.23,1,0.824,21.66,0.12,21.54,2,2,1.5,3,2,3,0.5,4030.8,7.9
*data,11JTA00024.HDF,1-SD,1-AT,76759,18.34,1,0.824,42.78,4.80,37.98,2,2,4,3,2,2,1,4030.8,7.9
*data,11JTA00052.HDF,1-SD,1-AT,91868,21.95,1,0.824,38.05,1.07,36.98,2,2,1.5,3,1,0,0,4030.8,7.9
*data,11KBA00028.HDF,1-SD,1-AT,85213,20.36,1,0.824,33.86,5.31,28.55,2,2,6,3,1,0,0,4030.8,7.9
*data,11MLA00017.HDF,1-SD,1-AT,82409,19.69,1,0.824,28.16,1.84,26.32,2,2,4,3,2,0,0.5,4030.8,7.9
*data,11MLA00022.HDF,1-SD,1-AT,96932,23.16,1,0.824,45.87,1.50,44.37,2,2,6,3,2,2,0,4030.8,7.9
*data,11MLA00023.HDF,1-SD,1-AT,72950,17.43,1,0.824,42.82,5.61,37.21,2,2,6,1,2,1,1,4030.8,7.9
*data,11MLA00030.HDF,1-SD,1-AT,70369,26.14,3,0.53,31.90,3.34,28.56,2,2,4,3,2,0,0.5,4030.8,7.9
