Filename,hse_type,region,HOT2XP_CITY
2207A00469.HDF,1-SD,5-BC,SMITHERS
2207A00475.HDF,1-SD,5-BC,SMITHERS
2207A00478.HDF,1-SD,5-BC,SMITHERS
2207A00479.HDF,1-SD,5-BC,SMITHERS
2207A00483.HDF,1-SD,5-BC,SMITHERS
2207A00487.HDF,1-SD,5-BC,PRINCE RUPERT
2207A00489.HDF,2-DR,5-BC,PRINCE RUPERT
2207A00494.HDF,1-SD,5-BC,SMITHERS
2207A00496.HDF,1-SD,5-BC,SMITHERS
2207A00511.HDF,1-SD,5-BC,SMITHERS
2207A00518.HDF,1-SD,5-BC,SMITHERS
2207A00521.HDF,1-SD,5-BC,SMITHERS
2207A00525.HDF,1-SD,5-BC,SMITHERS
2207A00527.HDF,1-SD,5-BC,SMITHERS
2207A00538.HDF,1-SD,5-BC,SMITHERS
2207A00551.HDF,1-SD,5-BC,SMITHERS
2207A00553.HDF,1-SD,5-BC,SMITHERS
2207A00555.HDF,1-SD,5-BC,SMITHERS
2207A00557.HDF,1-SD,5-BC,SMITHERS
2207A00558.HDF,1-SD,5-BC,SMITHERS
2207A00559.HDF,1-SD,5-BC,SMITHERS
2207A00564.HDF,2-DR,5-BC,SMITHERS
2207A00571.HDF,1-SD,5-BC,SMITHERS
2207A00573.HDF,1-SD,5-BC,SMITHERS
2207A00575.HDF,1-SD,5-BC,SMITHERS
2207A00576.HDF,1-SD,5-BC,SMITHERS
2207A00583.HDF,1-SD,5-BC,SMITHERS
2207A00584.HDF,1-SD,5-BC,SMITHERS
2207A00585.HDF,1-SD,5-BC,SMITHERS
2207A00588.HDF,1-SD,5-BC,SMITHERS
2207A00592.HDF,1-SD,5-BC,SMITHERS
2207A00609.HDF,1-SD,5-BC,SMITHERS
2207A00610.HDF,1-SD,5-BC,SMITHERS
2207A00611.HDF,1-SD,5-BC,SMITHERS
2207A00613.HDF,1-SD,5-BC,SMITHERS
2207A00614.HDF,1-SD,5-BC,SMITHERS
2207A00617.HDF,1-SD,5-BC,SMITHERS
2207A00622.HDF,1-SD,5-BC,SMITHERS
2207A00623.HDF,1-SD,5-BC,SMITHERS
2211A00006.HDF,1-SD,5-BC,VANCOUVER
2211A00007.HDF,1-SD,5-BC,VANCOUVER
2211A00008.HDF,1-SD,5-BC,VANCOUVER
2211A00015.HDF,1-SD,5-BC,VANCOUVER
2211A00020.HDF,2-DR,5-BC,VANCOUVER
2211A00024.HDF,1-SD,5-BC,VANCOUVER
2211A00030.HDF,1-SD,5-BC,VANCOUVER
2211A00031.HDF,1-SD,5-BC,VANCOUVER
2211A00036.HDF,2-DR,5-BC,VANCOUVER
2211A00043.HDF,1-SD,5-BC,VANCOUVER
2211A00049.HDF,1-SD,5-BC,VANCOUVER
2211A00054.HDF,1-SD,5-BC,VANCOUVER
2211A00064.HDF,2-DR,5-BC,VANCOUVER
2211A00078.HDF,1-SD,5-BC,VANCOUVER
2211A00106.HDF,1-SD,5-BC,VANCOUVER
2211A00114.HDF,2-DR,5-BC,VANCOUVER
2211A00125.HDF,1-SD,5-BC,VANCOUVER
2211A00126.HDF,1-SD,5-BC,VANCOUVER
2211A00130.HDF,1-SD,5-BC,VANCOUVER
2211A00134.HDF,1-SD,5-BC,VANCOUVER
2211A00151.HDF,1-SD,5-BC,VANCOUVER
2211A00156.HDF,1-SD,5-BC,VANCOUVER
2211A00159.HDF,2-DR,5-BC,VANCOUVER
2211A00162.HDF,1-SD,5-BC,VANCOUVER
2211A00174.HDF,1-SD,5-BC,VANCOUVER
2211A00181.HDF,2-DR,5-BC,VANCOUVER
2211A00193.HDF,1-SD,5-BC,VANCOUVER
2211A00200.HDF,2-DR,5-BC,VANCOUVER
2211A00202.HDF,2-DR,5-BC,VANCOUVER
2211A00203.HDF,1-SD,5-BC,VANCOUVER
2211A00208.HDF,1-SD,5-BC,VANCOUVER
2211A00210.HDF,2-DR,5-BC,VANCOUVER
2211A00213.HDF,1-SD,5-BC,VANCOUVER
2211A00217.HDF,1-SD,5-BC,VANCOUVER
2211A00229.HDF,1-SD,5-BC,VANCOUVER
2211A00238.HDF,1-SD,5-BC,VANCOUVER
2211A00242.HDF,1-SD,5-BC,VANCOUVER
2211A00248.HDF,1-SD,5-BC,VANCOUVER
2211A00263.HDF,1-SD,5-BC,VANCOUVER
2211A00275.HDF,1-SD,5-BC,VANCOUVER
2211A00310.HDF,2-DR,5-BC,VANCOUVER
2211A00323.HDF,1-SD,5-BC,VANCOUVER
2211A00324.HDF,1-SD,5-BC,VANCOUVER
2211A00325.HDF,1-SD,5-BC,VANCOUVER
2211A00341.HDF,1-SD,5-BC,VANCOUVER
2213A00050.HDF,1-SD,5-BC,VANCOUVER
2213A00062.HDF,1-SD,5-BC,VANCOUVER
2213A00121.HDF,2-DR,5-BC,VANCOUVER
2213A00226.HDF,1-SD,5-BC,VANCOUVER
2213A00334.HDF,2-DR,5-BC,VANCOUVER
2213A00335.HDF,1-SD,5-BC,VANCOUVER
2213A00336.HDF,1-SD,5-BC,VANCOUVER
