ACH
air_tightness_type
attachment_type
baseload_estimated
blower_door_house_volume
blower_door_test_type
bsmt_cooled
bsmt_exterior_insul_coverage
bsmt_exterior_insul_RSI
bsmt_floor_area
bsmt_floor_header_code
bsmt_floor_header_RSI
bsmt_header_code
bsmt_header_height
bsmt_header_perimeter
bsmt_header_RSI
bsmt_heated
bsmt_heating_temp
bsmt_interior_insul_code
bsmt_interior_insul_coverage
bsmt_interior_insul_RSI
bsmt_perimeter
bsmt_pony_wall_code
bsmt_pony_wall_height
bsmt_pony_wall_RSI
bsmt_seperate_thermostat
bsmt_slab_insul_code
bsmt_slab_insul_coverage
bsmt_slab_insul_RSI
bsmt_type
bsmt_wall_height
bsmt_wall_height_above_grade
cooling_COP_SEER_selector
cooling_COP_SEER_value
cooling_equip_type
crawl_edge_insulated
crawl_floor_above_code
crawl_floor_above_RSI
crawl_floor_area
crawl_perimeter
crawl_skirt
crawl_slab_code
crawl_slab_coverage
crawl_slab_RSI
crawl_wall_code
crawl_wall_height
crawl_wall_RSI
damper_closed_in_test
DHW_eff
DHW_energy_src
DHW_equip_type
door_count_1
door_count_2
door_count_3
door_height_1
door_height_2
door_height_3
door_RSI_1
door_RSI_2
door_RSI_3
door_type_1
door_type_2
door_type_3
door_width_1
door_width_2
door_width_3
dryer_fuel_used
ELA
ELA_Pa_type
exposed_floor_area
exposed_floor_code
exposed_floor_RSI
exterior_area
exterior_depth
exterior_dimension_indicator
exterior_perimeter
exterior_width
file_name
fireplace_flue_diam
fireplace_presence
flat_ceiling_area
flat_ceiling_code
flat_ceiling_height
flat_ceiling_RSI
flat_ceiling_type
footprint_shape
foundation_attach_length
foundation_type
front_orientation
garage_depth
garage_level
garage_location_D
garage_location_W
garage_presence
garage_width
heating_capacity
heating_eff
heating_eff_type
heating_energy_src
heating_equip_type
highest_ceiling_height
HOT2XP_CITY
HOT2XP_PROVINCE_NAME
HOT2XP_version
HRV_eff_-25_C
HRV_eff_0_C
hse_type
hse_type_num
kneewall_height
main_floors_count
main_floor_area_1
main_floor_area_2
main_floor_area_3
main_floor_cooling_temp
main_floor_heating_temp
main_header_code_1
main_header_code_2
main_header_height_1
main_header_height_2
main_header_perimeter_1
main_header_perimeter_2
main_header_RSI_1
main_header_RSI_2
main_perimeter_1
main_perimeter_2
main_perimeter_3
main_wall_code
