*header,File_name,Main_Refrigerator,Secondary_Refrigerator,Stove,Dishwasher,Main_Freezer,Secondary_Freezer,Clothes_Washer,Clothes_Dryer,Microwave,Color_TV,BW_TV,Furnace_Fan,Boiler_Pump,Supplementary_Heat,VCR,CD_Player,Stereo,Computer,Electric_Blanket,Water_Bed,Humidifier,Dehumidifier,Car_Block,Car_Warmer,Water_Cooler,Fish_Tank,Bath_Exhaust_Fan,Kitchen_Exhaust_Fan,Central_Air_Filter,Central_Humidifier,Central_Dehumidifier,Central_Air_Exchanger,HRV,Central_Vacuum,Sump_Pump,Water_Softener,Jacuzzi,Sauna,Ceiling_Fan,Portable_Fan,Central_Air_Conditioner,Window_Air_Conditioner,Halogen,Fluorescent,Incandescent,HDD,CDD,Area,Income,Dwelling_Type,Ownership,Rural_Suburb_Urban,Num_of_Children,Num_of_Adults,Employment_Ratio
*unit,-,litre,litre,presence,loads/week,litre,litre,loads/week,loads/week,presence,count,count,presence,presence,count,count,count,count,count,count,count,count,count,count,count,presence,count,count,presence,presence,presence,presence,presence,presence,presence,presence,presence,presence,presence,count,count,hr/yr,hr/yr,count,count,count,C-day,C-day,heated; m^2,$1000's/yr,SD=1 DR=0,1=owner; 0=renter,<=15k;15k-100k;>=100k,count,count,adults_employed/adults
*min,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2930,3.7,51.2,10,0,0,1,0,1,0
*max,-,625,625,1,15,710,710,15,15,1,7,3,1,1,3,4,3,6,4,7,4,3,2,7,4,1,8,4,1,1,1,1,1,1,1,1,1,1,1,7,8,1125,1125,18,46,106,6128,405,753,85,1,1,3,5,8,1
*var,-,100,100,1,2,100,100,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100,2,3,3,200,20,50,10,1,1,1,1,1,0.1
*data,base,500,0,1,4,0,0,4,4,1,2,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,12,12,4500,80,185,60,1,1,2,2,2,0.5
