Number,File Name,Main Refrigerator (litre),Secondary Refri. (litre),Stove (presence),Dishwasher (loads/week),Main Freezer (litre),Secondary Freezer (litre),Clothes Washer (loads/week),Clothes Dryer (loads/week),Microwave (presence),Color TV (count),BW TV (count),Furnace Fan (presence),Boiler Pump (presence),Supplementary Ht. (count),VCR (count),CD Player (count),Stereo (count),Computer (count),Electric Blanket (count),Water Bed (count),Humidifier (count),Dehumidifier (count),Car Block (count),Car Warmer (count),Water Cooler (presence),Fish Tank (count),Bath. Exh. Fan (count),Kitch. Exh. Fan (presence),Central Air Filter (presence),Central Humidifi. (presence),Central Dehumidif. (presence),Central Air Exch. (presence),HRV (presence),Central Vacuum (presence),Sump Pump (presence),Water Softener (presence),Jacuzzi (presence),Sauna (presence),Ceiling Fan (count),Portable Fan (count),Central A/C (hr/yr),Window A/C (hr/yr),Halogen (count),Fluorescent (count),Incandescent (count),HDD (C-day),CDD (C-day),Area (heated; m^2),"Income ($1,000/yr)",Dwelling Type (0=DR;1=SD),Ownership (1=owner),Population (<=15k;15k-100k;>=100k),No. of Children (count),No. of Adults (count),Employment Ratio (adults_employed/adults)
21,2513A00140.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,5847.2,0,258.13,85,1,1,2,2,2,1
22,2432A00193.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,220.45,85,1,1,2,2,2,1
23,2424A00103.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,179.04,85,1,1,2,2,2,1
24,2402A00885.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4617.7,0.9,223.44,85,1,1,2,2,2,1
25,2426A00239.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,5847.2,0,178.23,85,1,1,2,2,2,1
26,2401A00007.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4617.7,0.9,179.58,85,1,1,2,2,2,1
27,2510A00027.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,223.44,85,1,1,2,2,2,1
28,2402A01353.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,5847.2,0,240.97,85,1,1,2,2,2,1
29,2432A00300.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,185.99,85,1,1,2,2,2,1
30,2429A00091.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,5847.2,0,68.81,85,1,1,2,2,2,1
