Number,File Name,Main Refrigerator (litre),Secondary Refri. (litre),Stove (presence),Dishwasher (loads/week),Main Freezer (litre),Secondary Freezer (litre),Clothes Washer (loads/week),Clothes Dryer (loads/week),Microwave (presence),Color TV (count),BW TV (count),Furnace Fan (presence),Boiler Pump (presence),Supplementary Ht. (count),VCR (count),CD Player (count),Stereo (count),Computer (count),Electric Blanket (count),Water Bed (count),Humidifier (count),Dehumidifier (count),Car Block (count),Car Warmer (count),Water Cooler (presence),Fish Tank (count),Bath. Exh. Fan (count),Kitch. Exh. Fan (presence),Central Air Filter (presence),Central Humidifi. (presence),Central Dehumidif. (presence),Central Air Exch. (presence),HRV (presence),Central Vacuum (presence),Sump Pump (presence),Water Softener (presence),Jacuzzi (presence),Sauna (presence),Ceiling Fan (count),Portable Fan (count),Central A/C (hr/yr),Window A/C (hr/yr),Halogen (count),Fluorescent (count),Incandescent (count),HDD (C-day),CDD (C-day),Area (heated; m^2),"Income ($1,000/yr)",Dwelling Type (0=DR;1=SD),Ownership (1=owner),Population (<=15k;15k-100k;>=100k),No. of Children (count),No. of Adults (count),Employment Ratio (adults_employed/adults)
3826,2L01A01694.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,143.44,85,1,1,2,2,2,1
3827,1045A01353.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,129.61,85,1,1,2,2,2,1
3828,1024A00268.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,172.85,85,1,1,2,2,2,1
3829,1035A00089.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,203.05,85,1,1,2,2,2,1
3830,1024A00426.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,178.67,85,1,1,2,2,2,1
3831,2Z03A00122.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,173.94,85,1,1,2,2,2,1
3832,1045A00642.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,480,0,8,10,15,4030.8,0.7,211.51,85,1,1,2,2,2,1
3833,2N05A00008.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,480,0,8,10,15,4030.8,0.7,174.64,85,1,1,2,2,2,1
3834,1097A00004.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,192.58,85,1,1,2,2,2,1
3835,2Q04A10036.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,289.3,85,1,1,2,2,2,1
3836,1014A00297.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,168.2,85,1,1,2,2,2,1
3837,1094A00162.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,191.85,85,1,1,2,2,2,1
3838,1071A00006.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,189.56,85,1,1,2,2,2,1
3839,22Q8A00034.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,197.23,85,1,1,2,2,2,1
3840,1077A00189.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,201.45,85,1,1,2,2,2,1
3841,1099A00423.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,171.08,85,1,1,2,2,2,1
3842,2A03A00180.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,168.16,85,1,1,2,2,2,1
3843,2G03A00005.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,145.02,85,1,1,2,2,2,1
3844,2B02A00054.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,184.8,85,1,1,2,2,2,1
3845,222QA00022.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,147.81,85,1,1,2,2,2,1
3846,2H01A06074.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,199.65,85,1,1,2,2,2,1
3847,2Z10A00086.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,178.23,85,1,1,2,2,2,1
3848,1012A00055.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,219.16,85,1,1,2,2,2,1
3849,1096A00059.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,216.09,85,1,1,2,2,2,1
3850,2X01A00169.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,162.49,85,1,1,2,2,2,1
3851,2B01A00032.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,175.74,85,1,1,2,2,2,1
3852,2K01A00103.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,169.04,85,1,1,2,2,2,1
3853,1009A00082.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,358.05,85,1,1,2,2,2,1
3854,1014A00350.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,177.72,85,1,1,2,2,2,1
3855,1031A01334.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,182.84,85,1,1,2,2,2,1
3856,22Q1A00118.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,146.6,85,1,1,2,2,2,1
3857,2P02A00015.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,152.61,85,1,1,2,2,2,1
3858,1077A00282.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,295.34,85,1,1,2,2,2,1
3859,1072A30801.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,108.88,85,1,1,2,2,2,1
3860,1050A00453.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,178.19,85,1,1,2,2,2,1
3861,1035A00450.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,197.78,85,1,1,2,2,2,1
3862,1075A00114.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,154.33,85,1,1,2,2,2,1
3863,2W01A00048.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,182.69,85,1,1,2,2,2,1
3864,2G03A00070.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,169.74,85,1,1,2,2,2,1
3865,1035A00167.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,196.33,85,1,1,2,2,2,1
3866,1099A00447.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,70.11,85,1,1,2,2,2,1
3867,1092A00185.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,127.37,85,1,1,2,2,2,1
3868,1096A00066.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,156.08,85,1,1,2,2,2,1
3869,1009A00299.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,175.31,85,1,1,2,2,2,1
3870,1077A00038.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,280.94,85,1,1,2,2,2,1
3871,1095A00334.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,206.06,85,1,1,2,2,2,1
3872,2G01A00181.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,170.84,85,1,1,2,2,2,1
3873,2Z01A00075.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,480,0,8,10,15,4030.8,0.7,151.67,85,1,1,2,2,2,1
3874,1088A00479.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,189.06,85,1,1,2,2,2,1
3875,1051A00484.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,187.22,85,1,1,2,2,2,1
3876,2U02A00140.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,145.91,85,1,1,2,2,2,1
3877,1067A00046.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,160,85,1,1,2,2,2,1
3878,1031A00372.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,480,0,8,10,15,4030.8,0.7,151.24,85,1,1,2,2,2,1
3879,1045A01052.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,150.65,85,1,1,2,2,2,1
3880,1045A00858.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,187.43,85,1,1,2,2,2,1
3881,1077A00422.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,148.37,85,1,1,2,2,2,1
3882,2Z13A00089.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,164.62,85,1,1,2,2,2,1
3883,1031A01104.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,480,0,8,10,15,4030.8,0.7,173.92,85,1,1,2,2,2,1
3884,1063A00303.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,160.07,85,1,1,2,2,2,1
3885,2S03A00004.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,222.23,85,1,1,2,2,2,1
3886,1067A00104.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,146.9,85,1,1,2,2,2,1
3887,1051A00822.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,196.44,85,1,1,2,2,2,1
3888,1011A00137.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,155.34,85,1,1,2,2,2,1
3889,2K01A00125.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,175.5,85,1,1,2,2,2,1
3890,1051A00707.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,182.1,85,1,1,2,2,2,1
3891,1040A00922.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,480,0,8,10,15,4030.8,0.7,226.6,85,1,1,2,2,2,1
3892,1098A00062.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,200.76,85,1,1,2,2,2,1
3893,22Q5A00116.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,199.74,85,1,1,2,2,2,1
3894,1022A00154.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,158.43,85,1,1,2,2,2,1
3895,1095A00446.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,99.03,85,1,1,2,2,2,1
3896,1071A00058.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,193.24,85,1,1,2,2,2,1
3897,22Q5A00040.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,480,0,8,10,15,4030.8,0.7,268.49,85,1,1,2,2,2,1
3898,2G03A00119.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,168.06,85,1,1,2,2,2,1
3899,2D03A00005.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,135.15,85,1,1,2,2,2,1
3900,1023A00087.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,179.3,85,1,1,2,2,2,1
3901,2K01A00249.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,146.6,85,1,1,2,2,2,1
3902,1094A00318.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,480,0,8,10,15,4030.8,0.7,182.84,85,1,1,2,2,2,1
3903,2A02A00148.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,183.76,85,1,1,2,2,2,1
3904,1095A00205.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,196.89,85,1,1,2,2,2,1
3905,2N05A00213.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,480,0,8,10,15,4030.8,0.7,182.84,85,1,1,2,2,2,1
3906,2204A00009.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,184.42,85,1,1,2,2,2,1
3907,2Z12A00020.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,480,0,8,10,15,4030.8,0.7,149.58,85,1,1,2,2,2,1
3908,1009A00307.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,131.83,85,1,1,2,2,2,1
3909,1095A00330.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,163.55,85,1,1,2,2,2,1
3910,2A02A00065.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,173.44,85,1,1,2,2,2,1
3911,1031A01486.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,151.64,85,1,1,2,2,2,1
3912,2209A00375.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,480,0,8,10,15,4030.8,0.7,236.76,85,1,1,2,2,2,1
3913,1045A00512.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,155.37,85,1,1,2,2,2,1
3914,22Q1A00093.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,179.58,85,1,1,2,2,2,1
3915,2N03A00030.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,480,0,8,10,15,4030.8,0.7,163.83,85,1,1,2,2,2,1
3916,1075A00149.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,141.63,85,1,1,2,2,2,1
3917,1044A04151.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,188.4,85,1,1,2,2,2,1
3918,1022A00209.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,158.12,85,1,1,2,2,2,1
3919,2U02A00113.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,169.62,85,1,1,2,2,2,1
3920,2E02A00020.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,147.9,85,1,1,2,2,2,1
3921,2E01A00143.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,480,0,8,10,15,4030.8,0.7,173.73,85,1,1,2,2,2,1
3922,2G03A00174.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,183.85,85,1,1,2,2,2,1
3923,1012A00263.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,177.73,85,1,1,2,2,2,1
3924,1040A00758.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,480,0,8,10,15,4030.8,0.7,186.62,85,1,1,2,2,2,1
3925,2U03A00169.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,156.35,85,1,1,2,2,2,1
3926,2Z13A00046.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,145.9,85,1,1,2,2,2,1
3927,2G02A00069.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,200.61,85,1,1,2,2,2,1
