identity,Bias,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28
29,-0.56311,1.18914,0.26096,0.12264,0.43931,-0.62584,0.38175,0.57426,-0.01037,-0.01151,0.76295,0.10196,0.48369,-1.20047,0.46053,0.35489,-0.0973,-0.3239,-2.43354,0.13188,-0.20061,0.13358,0.53347,-0.68639,0.45175,0.1501,0.88421,-0.38163,-0.2562
30,0.89065,-0.21833,0.54946,-0.74418,0.84684,-0.34325,0.36076,-0.81657,-0.03579,-0.45423,0.39038,-0.47059,0.1065,-0.11195,-0.95793,-0.59157,0.20185,0.49354,-1.01231,0.3612,-0.33685,-0.0251,-0.17016,-0.68291,0.18199,-0.5156,-0.72227,0.23166,-0.59323
