-,SD,SD,SD,SD,SD,DR,DR,DR,DR,DR
A,AT,QC,OT,PR,BC,AT,QC,OT,PR,BC
1998,31,25,59,184,17,3,8,16,16,6
1999,19,34,81,113,15,2,7,13,10,1
2000,51,44,89,120,19,3,11,22,13,3
2001,37,38,75,99,10,,5,10,5
2002,41,66,81,137,7,3,5,13,12,2
2003,29,60,62,102,12,3,10,5,4,3
2004,38,32,58,78,6,1,6,11,9,1
2005,18,19,36,49,6,,4,1,2,1
2006,,1,2,7,1,1
B,AT,QC,OT,PR,BC,AT,QC,OT,PR,BC
1998,5,5,7,19,2,,1,,,5
1999,3,3,7,15,3,,,,1
2000,7,12,7,14,2,,,,2
2001,6,2,3,11,2,,1
2002,5,4,7,18,1,,,,1
2003,4,3,3,7,3,1,1,,1
2004,8,5,2,8
2005,2,1,2,2
2006,,,,,1
C,AT,QC,OT,PR,BC,AT,QC,OT,PR,BC









N,AT,QC,OT,PR,BC,AT,QC,OT,PR,BC





2003,9
2004,4,,285,14,,,,59
2005,4,,225,87,,,,82,2
2006,,,223,42,,,,86,2
U,AT,QC,OT,PR,BC,AT,QC,OT,PR,BC






2004,,1
2005,,,1

