0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
CHREM:zone 01:net:air exch zone amb total CVI avg (W),-214.19681,-241.20027,-209.95436,-172.64848,-170.12871,-213.27100,-209.36140,-168.32700,-157.49101,-148.56577,-176.51558,-193.42188,-212.66492,-233.22290,-213.57219,-207.01215,-183.50188,-158.66536,-132.09019,-107.94933,-116.11715,-112.85278,-133.67703,-173.49332,
 CHREM:zone 01:net:flux cas gain CONV (W), 492.61600, 492.61600, 295.68100, 105.81400, 121.64575, 122.61475, 154.66299, 164.18201, 160.16351, 160.42001, 162.15849, 283.02698, 717.25299, 587.03650, 289.89551, 332.18951, 172.06226, 242.07248, 276.89948, 352.01123, 439.24976, 481.38699, 672.22302, 616.00671,
 CHREM:zone 01:net:flux cas gain RAD (W), 492.61600, 492.61600, 295.68100, 105.81400, 121.64575, 122.61475, 154.66299, 164.18201, 160.16351, 160.42001, 162.15849, 283.02698, 717.25299, 587.03650, 289.89551, 332.18951, 172.06226, 242.07248, 276.89948, 352.01123, 439.24976, 481.38699, 672.22302, 616.00671,
 CHREM:zone 01:net:flux heat cool sys (W), 0.0000000, 0.0000000, 145.52036, 350.36670, 399.68842, 488.18439, 469.85950, 417.85077, 400.44690, 377.09814, 388.08160, 252.48514, 82.388374, 0.0000000, 60.668652, 60.668652, 156.58690, 156.58690, 47.589931, 47.589931, 0.0000000, 0.0000000, 0.0000000, 0.0000000,
 CHREM:zone 01:net:storage air mass sensible (W), -14.572133, -9.4322214, -16.848249, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 114.95379, -82.322289, -33.023865, 36.619267, -36.669197, 31.931356, -31.969315, 40.818211, -1.0893888, 16.678055, 66.472519, -41.458694,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
