*data,GREENWOOD,NS,NOVA SCOTIA,45,-64.9,4218,3.2,can_halifax.cwec,HALIFAX,NS,NOVA SCOTIA,2000,44.88,0,0,44.7,-63.6,4030.8,0.7,HALIFAX,NOVA SCOTIA,8.5,11.7,0.522,0.3,-1.3,187.2,2.5,1.05
*data,HALIFAX,NS,NOVA SCOTIA,44.7,-63.6,4030.8,0.7,can_halifax.cwec,HALIFAX,NS,NOVA SCOTIA,2000,44.88,0,0,44.7,-63.6,4030.8,0.7,HALIFAX,NOVA SCOTIA,8.5,11.7,0.522,0,0,0,0,1
*data,SHEARWATER,NS,NOVA SCOTIA,44.7,-63.6,4030.8,0.7,can_halifax.cwec,HALIFAX,NS,NOVA SCOTIA,2000,44.88,0,0,44.7,-63.6,4030.8,0.7,HALIFAX,NOVA SCOTIA,8.5,11.7,0.522,0,0,0,0,1
*data,SABLE ISLAND,NS,NOVA SCOTIA,43.9,-60,3818.5,0,can_halifax.cwec,HALIFAX,NS,NOVA SCOTIA,2000,44.88,0,0,44.7,-63.6,4030.8,0.7,HALIFAX,NOVA SCOTIA,8.5,11.7,0.522,-0.7,3.6,-212.3,-0.7,0.95
*data,SYDNEY,NS,NOVA SCOTIA,46.2,-60,4617.7,0.9,can_sydney.cwec,SYDNEY,NS,NOVA SCOTIA,2000,46.17,-0.05,0,46.2,-60,4617.7,0.9,SYDNEY,NOVA SCOTIA,8.4,10.4,0.614,0,0,0,0,1
*data,TRURO,NS,NOVA SCOTIA,45.4,-63.3,4518,0.7,can_sydney.cwec,SYDNEY,NS,NOVA SCOTIA,2000,46.17,-0.05,0,46.2,-60,4617.7,0.9,SYDNEY,NOVA SCOTIA,8.4,10.4,0.614,-0.8,-3.2,-99.7,-0.2,0.98
*data,YARMOUTH,NS,NOVA SCOTIA,43.8,-66.1,4040.6,0.3,can_halifax.cwec,HALIFAX,NS,NOVA SCOTIA,2000,44.88,0,0,44.7,-63.6,4030.8,0.7,HALIFAX,NOVA SCOTIA,8.5,11.7,0.522,-0.8,-2.5,9.8,-0.4,1
*data,BAKER LAKE,NU,NUNAVUT,64.3,-96.1,10859.6,0,can_whitehorse.cwec,WHITEHORSE,YT,YUKON TERRITORY,2000,60.73,0,0,60.7,-135.1,6811.3,0,WHITEHORSE,YUKON TERRITORY,2,10.4,0.314,3.6,39,4048.3,0,1.59
*data,IQALUIT,NU,NUNAVUT,63.8,-68.6,10117.4,0,can_resolute.cwec,RESOLUTE,NU,NUNAVUT,2000,74.72,10.02,0,74.7,-95,12526.1,0,YELLOWKNIFE,NORTHWEST TERRITORY,4,13.1,0.460,-11,26.4,-2408.7,0,0.81
*data,RESOLUTE,NU,NUNAVUT,74.7,-95,12526.1,0,can_resolute.cwec,RESOLUTE,NU,NUNAVUT,2000,74.72,10.02,0,74.7,-95,12526.1,0,YELLOWKNIFE,NORTHWEST TERRITORY,4,13.1,0.460,0,0,0,0,1
*data,ATIKOKAN,ON,ONTARIO,48.8,-91.6,6051.7,3.7,can_winnipeg.cwec,WINNIPEG,MB,MANITOBA,1997,49.9,7.23,0,49.9,-97.2,5777.5,10.8,WINNIPEG,MANITOBA,6.1,15.2,0.383,-1.2,5.6,274.2,-7.1,1.05
*data,BIG TROUT LAKE,ON,ONTARIO,53.8,-89.9,7576.6,0.8,can_thunderbay.cwec,THUNDER BAY,ON,ONTARIO,2000,48.37,-14.32,0,48.4,-89.3,5717.6,1.2,THUNDER BAY,ONTARIO,7.1,12.2,0.425,5.5,-0.5,1859,-0.4,1.33
*data,KAPUSKASING,ON,ONTARIO,49.4,-82.5,6371.9,3.1,can_thunderbay.cwec,THUNDER BAY,ON,ONTARIO,2000,48.37,-14.32,0,48.4,-89.3,5717.6,1.2,THUNDER BAY,ONTARIO,7.1,12.2,0.425,1,6.8,654.3,1.9,1.11
*data,KENORA,ON,ONTARIO,49.8,-94.4,5749.2,9,can_winnipeg.cwec,WINNIPEG,MB,MANITOBA,1997,49.9,7.23,0,49.9,-97.2,5777.5,10.8,WINNIPEG,MANITOBA,6.1,15.2,0.383,-0.1,2.9,-28.3,-1.8,1
*data,KINGSTON,ON,ONTARIO,44.2,-76.6,4289.2,6,can_trenton.cwec,TRENTON,ON,ONTARIO,2000,44.12,-2.53,0,44.1,-77.5,4222.5,9,TORONTO,ONTARIO,11.1,13.4,0.419,0.1,1,66.7,-3,1.02
*data,LONDON,ON,ONTARIO,43,-81.2,4057.6,12.3,can_london.cwec,LONDON,ON,ONTARIO,2000,43,0,0,43,-81.2,4057.6,12.3,TORONTO,ONTARIO,11.1,13.4,0.419,0,0,0,0,1
*data,MUSKOKA,ON,ONTARIO,45,-79.3,4882.9,1.7,can_muskoka.cwec,MUSKOKA,ON,ONTARIO,2000,44.97,-4.3,0,45,-79.3,4882.9,1.7,OTTAWA,ONTARIO,8.9,14.2,0.382,0,0,0,0,1
*data,NORTH BAY,ON,ONTARIO,46.4,-79.4,5295.2,2.1,can_north_bay.cwec,NORTH BAY,ON,ONTARIO,2000,46.35,-4.43,0,46.4,-79.4,5295.2,2.1,SUDBURY,ONTARIO,5.9,13.0,0.415,0,0,0,0,1
*data,OTTAWA,ON,ONTARIO,45.3,-75.7,4602.4,14,can_ottawa.cwec,OTTAWA,ON,ONTARIO,1997,45.32,0.67,0,45.3,-75.7,4602.4,14,OTTAWA,ONTARIO,8.9,14.2,0.382,0,0,0,0,1
*data,SAULT STE. MARIE,ON,ONTARIO,46.5,-84.5,5056.6,1.5,can_sault_ste_marie.cwec,SAULT STE. MARIE,ON,ONTARIO,2000,46.48,-9.52,0,46.5,-84.5,5056.6,1.5,SUDBURY,ONTARIO,5.9,13.0,0.415,0,0,0,0,1
*data,SIMCOE,ON,ONTARIO,,,,,can_london.cwec,LONDON,ON,ONTARIO,2000,43,0,0,43,-81.2,4057.6,12.3,TORONTO,ONTARIO,11.1,13.4,0.419,,,,,
*data,SUDBURY,ON,ONTARIO,46.6,-80.8,5343.5,4.2,can_north_bay.cwec,NORTH BAY,ON,ONTARIO,2000,46.35,-4.43,0,46.4,-79.4,5295.2,2.1,SUDBURY,ONTARIO,5.9,13.0,0.415,0.3,-1.4,48.3,2.1,1.01
*data,THUNDER BAY,ON,ONTARIO,48.4,-89.3,5717.6,1.2,can_thunderbay.cwec,THUNDER BAY,ON,ONTARIO,2000,48.37,-14.32,0,48.4,-89.3,5717.6,1.2,THUNDER BAY,ONTARIO,7.1,12.2,0.425,0,0,0,0,1
*data,TIMMINS,ON,ONTARIO,48.6,-81.4,6148.8,2.8,can_thunderbay.cwec,THUNDER BAY,ON,ONTARIO,2000,48.37,-14.32,0,48.4,-89.3,5717.6,1.2,THUNDER BAY,ONTARIO,7.1,12.2,0.425,0.2,8,431.2,1.6,1.08
*data,TORONTO,ON,ONTARIO,43.7,-79.4,3569.7,30.2,can_toronto.cwec,TORONTO,ON,ONTARIO,2000,43.67,0,0,43.7,-79.4,3569.7,30.2,TORONTO,ONTARIO,11.1,13.4,0.419,0,0,0,0,1
*data,TRENTON,ON,ONTARIO,44.1,-77.5,4222.5,9,can_trenton.cwec,TRENTON,ON,ONTARIO,2000,44.12,-2.53,0,44.1,-77.5,4222.5,9,TORONTO,ONTARIO,11.1,13.4,0.419,0,0,0,0,1
*data,WINDSOR,ON,ONTARIO,42.3,-83,3524.8,43.4,can_windsor.cwec,WINDSOR,ON,ONTARIO,2000,42.27,-7.97,0,42.3,-83,3524.8,43.4,WINDSOR,ONTARIO,10.3,14.3,0.392,0,0,0,0,1
*data,CHARLOTTETOWN,PE,PRINCE EDWARD ISLAND,46.3,-63.1,4715.3,0.6,can_charlottetown.cwec,CHARLOTTETOWN,PE,PRINCE EDWARD ISLAND,1997,46.28,3.13,0,46.3,-63.1,4715.3,0.6,CHARLOTTETOWN,PRINCE EDWARD ISLAND,7.5,11.5,0.543,0,0,0,0,1
*data,SUMMERSIDE,PE,PRINCE EDWARD ISLAND,46.4,-63.8,4631.3,0.5,can_charlottetown.cwec,CHARLOTTETOWN,PE,PRINCE EDWARD ISLAND,1997,46.28,3.13,0,46.3,-63.1,4715.3,0.6,CHARLOTTETOWN,PRINCE EDWARD ISLAND,7.5,11.5,0.543,0.1,-0.7,-84,-0.1,0.98
*data,BAGOTVILLE,QC,QUEBEC,48.3,-71,5792.5,3.3,can_quebec.cwec,QUEBEC,QC,QUEBEC,1997,46.8,1.3,0,46.8,-71.4,5202,3,QUEBEC,QUEBEC,7.4,13.1,0.403,1.5,0.4,590.5,0.3,1.11
*data,KUUJJUAQ,QC,QUEBEC,58.1,-68.4,8644.2,0.1,can_schefferville.cwec,SCHEFFERVILLE,QC,QUEBEC,2000,54.8,-6.82,0,54.8,-66.8,8475.5,0.2,GOOSE BAY,NEWFOUNDLAND,4.9,10.4,0.489,3.3,-1.6,168.7,-0.1,1.02
*data,KUUJJUARAPIK (POSTE DE LA BALEINE),QC,QUEBEC,55.3,-77.8,8170.8,0.3,can_schefferville.cwec,SCHEFFERVILLE,QC,QUEBEC,2000,54.8,-6.82,0,54.8,-66.8,8475.5,0.2,GOOSE BAY,NEWFOUNDLAND,4.9,10.4,0.489,0.5,-10.9,-304.7,0.1,0.96
*data,MONT JOLI,QC,QUEBEC,48.6,-68.2,5478.4,1.3,can_quebec.cwec,QUEBEC,QC,QUEBEC,1997,46.8,1.3,0,46.8,-71.4,5202,3,QUEBEC,QUEBEC,7.4,13.1,0.403,1.8,3.2,276.4,-1.7,1.05
*data,MONTREAL,QC,QUEBEC,45.5,-73.8,4518.7,11.9,can_montreal.cwec,MONTREAL,QC,QUEBEC,2000,45.47,1.25,0,45.5,-73.8,4518.7,11.9,MONTREAL,QUEBEC,6.4,14.4,0.391,0,0,0,0,1
*data,DORVAL,QC,QUEBEC,45.5,-73.8,4518.7,11.9,can_montreal.cwec,MONTREAL,QC,QUEBEC,2000,45.47,1.25,0,45.5,-73.8,4518.7,11.9,MONTREAL,QUEBEC,6.4,14.4,0.391,0,0,0,0,1
*data,NITCHEQUON,QC,QUEBEC,,,,,can_schefferville.cwec,SCHEFFERVILLE,QC,QUEBEC,2000,54.8,-6.82,0,54.8,-66.8,8475.5,0.2,GOOSE BAY,NEWFOUNDLAND,4.9,10.4,0.489,,,,,
*data,QUEBEC,QC,QUEBEC,46.8,-71.4,5202,3,can_quebec.cwec,QUEBEC,QC,QUEBEC,1997,46.8,1.3,0,46.8,-71.4,5202,3,QUEBEC,QUEBEC,7.4,13.1,0.403,0,0,0,0,1
*data,RIVIERE-DU-LOUP,QC,QUEBEC,,,,,can_quebec.cwec,QUEBEC,QC,QUEBEC,1997,46.8,1.3,0,46.8,-71.4,5202,3,QUEBEC,QUEBEC,7.4,13.1,0.403,,,,,
*data,SCHEFFERVILLE,QC,QUEBEC,54.8,-66.8,8475.5,0.2,can_schefferville.cwec,SCHEFFERVILLE,QC,QUEBEC,2000,54.8,-6.82,0,54.8,-66.8,8475.5,0.2,GOOSE BAY,NEWFOUNDLAND,4.9,10.4,0.489,0,0,0,0,1
*data,SEPT ILES,QC,QUEBEC,50.2,-66.3,6276.9,0,can_quebec.cwec,QUEBEC,QC,QUEBEC,1997,46.8,1.3,0,46.8,-71.4,5202,3,QUEBEC,QUEBEC,7.4,13.1,0.403,3.4,5.1,1074.9,-3,1.21
*data,SEPT-ILES,QC,QUEBEC,50.2,-66.3,6276.9,0,can_quebec.cwec,QUEBEC,QC,QUEBEC,1997,46.8,1.3,0,46.8,-71.4,5202,3,QUEBEC,QUEBEC,7.4,13.1,0.403,3.4,5.1,1074.9,-3,1.21
*data,SHERBROOKE,QC,QUEBEC,45.4,-71.7,5151.1,2,can_montreal.cwec,MONTREAL,QC,QUEBEC,2000,45.47,1.25,0,45.5,-73.8,4518.7,11.9,MONTREAL,QUEBEC,6.4,14.4,0.391,0,2.1,632.4,-9.9,1.14
*data,ST. HUBERT,QC,QUEBEC,,,,,can_montreal.cwec,MONTREAL,QC,QUEBEC,2000,45.47,1.25,0,45.5,-73.8,4518.7,11.9,MONTREAL,QUEBEC,6.4,14.4,0.391,,,,,
*data,VAL D'OR,QC,QUEBEC,48.1,-77.8,6212.7,2.7,can_quebec.cwec,QUEBEC,QC,QUEBEC,1997,46.8,1.3,0,46.8,-71.4,5202,3,QUEBEC,QUEBEC,7.4,13.1,0.403,1.3,-6.4,1010.7,-0.3,1.19
*data,ESTEVAN,SK,SASKATCHEWAN,49.2,-103,5360.9,13.1,can_estevan.cwec,ESTEVAN,SK,SASKATCHEWAN,2000,49.22,2.03,0,49.2,-103,5360.9,13.1,REGINA,SASKATCHEWAN,4.8,14.0,0.357,0,0,0,0,1
*data,MOOSE JAW,SK,SASKATCHEWAN,50.3,-105.6,5276.2,12.5,can_regina.cwec,REGINA,SK,SASKATCHEWAN,2000,50.43,0,0,50.4,-104.7,5660.7,7.9,REGINA,SASKATCHEWAN,4.8,14.0,0.357,-0.1,-0.9,-384.5,4.6,0.93
*data,NORTH BATTLEFORD,SK,SASKATCHEWAN,52.8,-108.3,5929.5,3.1,can_north_battleford.cwec,NORTH BATTLEFORD,SK,SASKATCHEWAN,2000,52.77,-0.68,0,52.8,-108.3,5929.5,3.1,SASKATOON,SASKATCHEWAN,5.9,14.1,0.354,0,0,0,0,1
*data,PRINCE ALBERT,SK,SASKATCHEWAN,53.2,-105.7,6277.4,1.6,can_north_battleford.cwec,NORTH BATTLEFORD,SK,SASKATCHEWAN,2000,52.77,-0.68,0,52.8,-108.3,5929.5,3.1,SASKATOON,SASKATCHEWAN,5.9,14.1,0.354,0.5,2.6,347.9,-1.5,1.06
*data,REGINA,SK,SASKATCHEWAN,50.4,-104.7,5660.7,7.9,can_regina.cwec,REGINA,SK,SASKATCHEWAN,2000,50.43,0,0,50.4,-104.7,5660.7,7.9,REGINA,SASKATCHEWAN,4.8,14.0,0.357,0,0,0,0,1
*data,SASKATOON,SK,SASKATCHEWAN,52.2,-106.7,5852.4,5.6,can_north_battleford.cwec,NORTH BATTLEFORD,SK,SASKATCHEWAN,2000,52.77,-0.68,0,52.8,-108.3,5929.5,3.1,SASKATOON,SASKATCHEWAN,5.9,14.1,0.354,-0.6,1.5,-77.1,2.5,0.99
*data,SWIFT CURRENT,SK,SASKATCHEWAN,50.3,-107.7,5251,5.9,can_swift_current.cwec,SWIFT CURRENT,SK,SASKATCHEWAN,2000,50.28,-2.68,0,50.3,-107.7,5251,5.9,REGINA,SASKATCHEWAN,4.8,14.0,0.357,0,0,0,0,1
*data,URANIUM CITY,SK,SASKATCHEWAN,,,,,can_churchill.cwec,CHURCHILL,MB,MANITOBA,2000,58.75,-4.07,0,58.7,-94.1,9068.4,0.6,THOMPSON,MANITOBA,2.7,12.4,0.395,,,,,
*data,DAWSON,YT,YUKON TERRITORY,64,-139.1,8165.6,0,can_whitehorse.cwec,WHITEHORSE,YT,YUKON TERRITORY,2000,60.73,0,0,60.7,-135.1,6811.3,0,WHITEHORSE,YUKON TERRITORY,2,10.4,0.314,3.3,-4.1,1354.3,0,1.2
*data,WHITEHORSE,YT,YUKON TERRITORY,60.7,-135.1,6811.3,0,can_whitehorse.cwec,WHITEHORSE,YT,YUKON TERRITORY,2000,60.73,0,0,60.7,-135.1,6811.3,0,WHITEHORSE,YUKON TERRITORY,2,10.4,0.314,0,0,0,0,1
*end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
