*header,HOT2XP_CITY,HOT2XP_PROVINCE_ABBREVIATION,HOT2XP_PROVINCE_NAME,HOT2XP_EC_LATITUDE,HOT2XP_EC_LONGITUDE,HOT2XP_EC_HDD_18C,HOT2XP_EC_CDD_24C,CWEC_FILE,CWEC_CITY,CWEC_PROVINCE_ABBREVIATION,CWEC_PROVINCE_NAME,CWEC_YEAR,CWEC_LATITUDE,CWEC_LONGITUDE_DIFF,CWEC_RAD_FLAG,CWEC_EC_LATITUDE,CWEC_EC_LONGITUDE,CWEC_EC_HDD_18C,CWEC_EC_CDD_24C,BASECALC_GND_TEMP_CITY,BASECALC_GND_TEMP_PROVINCE,BASECALC_GND_TEMP_AVG_C,BASECALC_GND_TEMP_AMPL_C,BASECALC_GND_TEMP_PHASE,HOT2XP_CWEC_LATITUDE_DIFF,HOT2XP_CWEC_LONGITUDE_DIFF,HOT2XP_CWEC_HDD_DIFF,HOT2XP_CWEC_CDD_DIFF,HOT2XP_CWEC_HDD_RATIO
*data,CALGARY,AB,ALBERTA,51.1,-114,5108.4,0.2,can_calgary.cwec,CALGARY,AB,ALBERTA,1997,51.12,-0.98,0,51.1,-114,5108.4,0.2,CALGARY,ALBERTA,6.4,10.6,0.353,0,0,0,0,1
*data,EDMONTON,AB,ALBERTA,53.3,-113.6,5708.2,0,can_edmonton.cwec,EDMONTON,AB,ALBERTA,1967,53,0,0,53.3,-113.6,5708.2,0,EDMONTON,ALBERTA,5.2,12.6,0.311,0,0,0,0,1
*data,FORT MCMURRAY,AB,ALBERTA,56.7,-111.2,6346.1,0.8,can_fort_mcmurray.cwec,FORT MCMURRAY,AB,ALBERTA,2000,56.65,-6.22,0,56.7,-111.2,6346.1,0.8,EDMONTON,ALBERTA,5.2,12.6,0.311,0,0,0,0,1
*data,GRANDE PRAIRIE,AB,ALBERTA,55.2,-118.9,5888.2,0.1,can_edmonton.cwec,EDMONTON,AB,ALBERTA,1967,53,0,0,53.3,-113.6,5708.2,0,EDMONTON,ALBERTA,5.2,12.6,0.311,1.8,-5.3,180,0.1,1.03
*data,LETHBRIDGE,AB,ALBERTA,49.6,-112.8,4600.3,2.1,can_medicine_hat.cwec,MEDICINE HAT,AB,ALBERTA,2000,50.02,-5.83,0,50,-110.7,4631.9,10,LETHBRIDGE,ALBERTA,7.1,12.0,0.357,-0.4,-2.1,-31.6,-7.9,0.99
*data,MEDICINE HAT,AB,ALBERTA,50,-110.7,4631.9,10,can_medicine_hat.cwec,MEDICINE HAT,AB,ALBERTA,2000,50.02,-5.83,0,50,-110.7,4631.9,10,LETHBRIDGE,ALBERTA,7.1,12.0,0.357,0,0,0,0,1
*data,PEACE RIVER,AB,ALBERTA,56.2,-117.4,6155.7,0.1,can_fort_st_john.cwec,FORT ST. JOHN,BC,BRITISH COLUMBIA,2000,56.23,-15.73,0,56.2,-120.7,5847.2,0,PRINCE GEORGE,BRITISH COLUMBIA,6.2,9.6,0.286,0,3.3,308.5,0.1,1.05
*data,RED DEER,AB,ALBERTA,52.2,-113.9,5695.8,0,can_edmonton.cwec,EDMONTON,AB,ALBERTA,1967,53,0,0,53.3,-113.6,5708.2,0,EDMONTON,ALBERTA,5.2,12.6,0.311,-1.2,-0.3,-12.4,0,1
*data,ROCKY MOUNTAIN HOUSE,AB,ALBERTA,52.4,-114.9,5744,0,can_edmonton.cwec,EDMONTON,AB,ALBERTA,1967,53,0,0,53.3,-113.6,5708.2,0,EDMONTON,ALBERTA,5.2,12.6,0.311,-0.9,-1.3,35.8,0,1.01
*data,SUFFIELD,AB,ALBERTA,50.3,-111.2,4870.9,8,can_medicine_hat.cwec,MEDICINE HAT,AB,ALBERTA,2000,50.02,-5.83,0,50,-110.7,4631.9,10,LETHBRIDGE,ALBERTA,7.1,12.0,0.357,0.3,-0.5,239,-2,1.05
*data,VERMILION,AB,ALBERTA,,,,,can_edmonton.cwec,EDMONTON,AB,ALBERTA,1967,53,0,0,53.3,-113.6,5708.2,0,EDMONTON,ALBERTA,5.2,12.6,0.311,,,,,
*data,WHITECOURT,AB,ALBERTA,54.1,-115.8,5617.4,0,can_edmonton.cwec,EDMONTON,AB,ALBERTA,1967,53,0,0,53.3,-113.6,5708.2,0,EDMONTON,ALBERTA,5.2,12.6,0.311,0.8,-2.2,-90.8,0,0.98
*data,ABBOTSFORD,BC,BRITISH COLUMBIA,49,-122.4,2981.3,0.9,can_abbotsford.cwec,ABBOTSFORD,BC,BRITISH COLUMBIA,2000,49.03,-2.37,0,49,-122.4,2981.3,0.9,VANCOUVER,BRITISH COLUMBIA,11.3,9.0,0.336,0,0,0,0,1
*data,CASTLEGAR,BC,BRITISH COLUMBIA,49.3,-117.6,3678,7,can_summerland.cwec,SUMMERLAND,BC,BRITISH COLUMBIA,2000,49,0.61,0,49.6,-119.7,3524.6,18.4,KAMLOOPS,BRITISH COLUMBIA,10.3,13.1,0.246,-0.3,2,153.4,-11.4,1.04
*data,COMOX,BC,BRITISH COLUMBIA,49.7,-124.9,3083.3,0.2,can_victoria.cwec,VICTORIA,BC,BRITISH COLUMBIA,2000,48.65,-3.43,0,48.6,-123.4,3040.8,0,VICTORIA,BRITISH COLUMBIA,11.8,8.2,0.351,1.1,-1.5,42.5,0.2,1.01
*data,CRANBROOK,BC,BRITISH COLUMBIA,49.6,-115.8,4575.8,2.8,can_prince_george.cwec,PRINCE GEORGE,BC,BRITISH COLUMBIA,2000,53.88,-2.68,0,54.1,-122.7,5132,0,PRINCE GEORGE,BRITISH COLUMBIA,6.2,9.6,0.286,-4.5,7,-556.2,2.8,0.89
*data,FORT NELSON,BC,BRITISH COLUMBIA,58.8,-122.6,6836,0.2,can_fort_st_john.cwec,FORT ST. JOHN,BC,BRITISH COLUMBIA,2000,56.23,-15.73,0,56.2,-120.7,5847.2,0,PRINCE GEORGE,BRITISH COLUMBIA,6.2,9.6,0.286,2.6,-1.8,988.8,0.2,1.17
*data,FORT ST. JOHN,BC,BRITISH COLUMBIA,56.2,-120.7,5847.2,0,can_fort_st_john.cwec,FORT ST. JOHN,BC,BRITISH COLUMBIA,2000,56.23,-15.73,0,56.2,-120.7,5847.2,0,PRINCE GEORGE,BRITISH COLUMBIA,6.2,9.6,0.286,0,0,0,0,1
*data,KAMLOOPS,BC,BRITISH COLUMBIA,50.7,-120.4,3570.8,19.5,can_kamloops.cwec,KAMLOOPS,BC,BRITISH COLUMBIA,2000,50.7,-0.45,0,50.7,-120.4,3570.8,19.5,KAMLOOPS,BRITISH COLUMBIA,10.3,13.1,0.246,0,0,0,0,1
*data,PENTICTON,BC,BRITISH COLUMBIA,49.5,-119.6,3431.4,11.1,can_abbotsford.cwec,ABBOTSFORD,BC,BRITISH COLUMBIA,2000,49.03,-2.37,0,49,-122.4,2981.3,0.9,VANCOUVER,BRITISH COLUMBIA,11.3,9.0,0.336,0.4,2.8,450.1,10.2,1.15
*data,PORT HARDY,BC,BRITISH COLUMBIA,50.7,-127.4,3551.6,0,can_port_hardy.cwec,PORT HARDY,BC,BRITISH COLUMBIA,2000,50.68,-7.37,0,50.7,-127.4,3551.6,0,KAMLOOPS,BRITISH COLUMBIA,10.3,13.1,0.246,0,0,0,0,1
