*title,can_gen_high_Y2,,,,,,,,
*note,Each row corresponds to 5 minutes. The first row starts Jan 1 12:00,,,,,,,,
*header,Lights,Refrigerator,Kitchen_stove,Dishwasher,Washer,Dryer,Freezer,Other_appliances,
*units,Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),
*data,940,0,0,0,0,0,240,182,1362
*data,940,0,0,0,0,0,240,182,1362
*data,940,159,0,0,0,0,232,182,1513
*data,940,501,0,0,0,0,159,62,1662
*data,1140,484,0,0,0,0,0,62,1686
*data,1140,484,0,0,0,0,0,62,1686
*data,320,468,0,0,0,0,0,62,850
*data,320,320,0,0,0,0,0,62,702
*data,320,0,0,0,0,0,0,62,382
*data,320,0,0,0,0,0,0,62,382
*data,200,0,0,0,0,0,0,62,262
*data,0,0,0,0,0,0,0,62,62
*data,0,0,0,0,0,0,79,62,141
*data,0,0,0,0,0,0,249,62,311
*data,0,0,0,0,0,0,240,62,302
*data,240,0,0,0,0,0,240,1062,1542
*data,240,159,0,0,0,0,232,1062,1693
*data,240,501,0,0,0,0,159,1062,1962
*data,240,484,0,0,0,0,0,62,786
*data,240,484,0,0,0,0,0,62,786
*data,240,468,0,0,0,0,0,62,770
*data,240,320,0,0,0,0,0,162,722
*data,240,0,0,0,0,0,0,162,402
*data,440,0,0,0,0,0,0,162,602
*data,440,0,0,0,0,0,0,162,602
*data,440,0,0,0,0,0,0,162,602
*data,440,0,0,0,0,0,79,162,681
*data,440,0,0,0,0,0,249,412,1101
*data,440,0,0,0,0,0,240,312,992
*data,440,0,0,0,0,0,240,312,992
*data,0,159,0,0,0,0,232,312,703
*data,0,501,0,0,0,0,159,312,972
*data,0,484,0,0,0,0,0,312,796
*data,0,484,1600,0,0,0,0,312,2396
*data,0,468,1600,0,0,0,0,312,2380
*data,0,320,1600,0,0,0,0,312,2232
*data,0,0,1600,0,0,0,0,312,1912
*data,0,0,1600,0,0,0,0,312,1912
*data,0,0,1600,0,0,0,0,312,1912
*data,0,0,1600,0,0,0,0,312,1912
*data,0,0,1600,0,0,0,79,62,1741
*data,0,0,1600,0,0,0,249,62,1911
*data,0,0,0,0,0,0,240,62,302
*data,0,0,0,0,0,0,240,62,302
*data,0,159,0,0,0,0,232,62,453
*data,0,501,0,0,0,0,159,62,722
*data,0,484,0,0,0,0,0,62,546
*data,0,484,0,0,0,0,0,62,546
*data,0,468,0,0,0,0,0,62,530
*data,0,320,0,0,0,0,0,62,382
*data,400,0,0,0,0,0,0,62,462
*data,400,0,0,0,0,0,0,62,462
*data,400,0,0,0,0,0,0,62,462
*data,400,0,0,0,0,0,0,312,712
*data,1220,0,0,0,0,0,79,312,1611
*data,1220,0,0,0,0,0,249,312,1781
*data,1220,0,0,0,0,0,240,312,1772
*data,1220,0,0,0,0,0,240,312,1772
*data,1220,159,0,0,0,0,232,312,1923
*data,1220,501,0,0,0,0,159,312,2192
*data,520,484,0,0,0,0,0,312,1316
*data,520,484,1600,0,0,0,0,312,2916
*data,520,468,1600,0,0,0,0,312,2900
*data,520,320,1600,0,0,0,0,312,2752
*data,520,0,1600,0,0,0,0,412,2532
*data,520,0,0,0,0,0,0,412,932
*data,520,0,0,0,0,0,0,412,932
*data,520,0,0,0,0,0,0,412,932
*data,520,0,0,0,0,0,79,412,1011
*data,520,0,0,0,0,0,249,412,1181
*data,520,0,0,0,0,0,240,412,1172
*data,520,0,0,0,0,0,240,412,1172
*data,520,159,0,0,0,0,232,162,1073
*data,360,501,1600,0,0,0,159,162,2782
*data,360,484,1600,0,0,0,0,62,2506
*data,120,484,1600,0,0,0,0,62,2266
*data,120,468,1600,0,0,0,0,62,2250
*data,120,320,0,0,0,0,0,62,502
*data,120,0,0,0,0,0,0,62,182
*data,320,0,0,0,0,0,0,62,382
*data,320,0,0,0,0,0,0,62,382
*data,440,0,0,0,0,0,0,242,682
*data,240,0,0,0,0,0,79,242,561
*data,240,0,0,0,0,0,249,242,731
*data,240,0,1600,0,0,0,240,242,2322
*data,640,0,1600,0,0,0,240,242,2722
*data,1040,159,1600,0,0,0,232,272,3303
*data,640,501,1600,0,0,0,159,272,3172
*data,640,484,1600,0,0,0,0,302,3026
*data,640,484,0,0,0,0,0,302,1426
*data,640,468,0,0,0,0,0,302,1410
*data,840,320,0,0,0,0,0,302,1462
*data,840,0,0,0,0,0,0,302,1142
*data,840,0,0,0,0,0,0,302,1142
*data,840,0,0,0,0,0,0,302,1142
*data,840,0,0,0,0,0,0,302,1142
*data,840,0,0,0,0,0,79,302,1221
*data,840,0,0,0,0,0,249,302,1391
*data,400,0,0,0,0,0,240,302,942
*data,400,0,0,0,0,0,240,302,942
*data,400,159,0,0,0,0,232,272,1063
*data,640,501,0,0,0,0,159,272,1572
*data,640,484,0,0,0,0,0,242,1366
*data,240,484,0,467,0,0,0,242,1433
*data,240,468,0,467,0,0,0,62,1237
*data,640,320,0,467,0,0,0,62,1489
*data,640,0,0,467,0,0,0,62,1169
*data,640,0,0,467,0,0,0,162,1269
*data,640,0,0,467,0,0,0,162,1269
*data,1040,0,1600,0,0,0,0,162,2802
*data,1440,0,1600,0,0,0,79,162,3281
*data,1440,0,1600,0,0,0,249,162,3451
*data,1440,0,1600,0,0,0,240,162,3442
*data,1440,0,1600,0,0,0,240,162,3442
*data,1440,159,1600,0,0,0,232,162,3593
*data,1440,501,1600,0,0,0,159,162,3862
*data,1560,484,1600,0,0,0,0,162,3806
*data,1320,484,1600,0,0,0,0,162,3566
*data,1320,468,1600,0,0,0,0,162,3550
*data,1720,320,0,0,0,0,0,162,2202
*data,1720,0,0,0,0,0,0,62,1782
*data,1720,0,0,0,0,0,0,62,1782
*data,1720,0,0,0,0,0,0,62,1782
*data,1720,0,0,0,0,0,0,62,1782
*data,1320,0,0,0,0,0,79,62,1461
*data,1200,0,0,0,0,0,249,62,1511
*data,800,0,0,0,0,0,240,62,1102
*data,0,0,0,0,0,0,240,62,302
*data,0,159,1600,0,0,0,232,1062,3053
*data,0,501,1600,0,0,0,159,1062,3322
*data,0,484,1600,0,0,0,0,1062,3146
*data,0,484,1600,0,0,0,0,1062,3146
*data,0,468,1600,0,0,0,0,1062,3130
*data,0,320,1600,0,0,0,0,1062,2982
*data,0,0,1600,0,0,0,0,1062,2662
*data,0,0,1600,0,0,0,0,1062,2662
*data,0,0,1600,0,0,0,0,1062,2662
*data,0,0,1600,0,0,0,0,1062,2662
*data,0,0,1600,0,0,0,79,1062,2741
*data,0,0,0,0,0,0,249,1062,1311
