*title,can_gen_high_Y1,,,,,,,,
*note,Each row corresponds to 5 minutes. The first row starts Jan 1 12:00,,,,,,,,
*header,Lights,Refrigerator,Stove,Dishwasher,Washer,Dryer,Freezer,Other_appliances,
*units,Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),
*data,0,234,0,0,0,0,0,2067,2301
*data,0,160,0,0,0,0,0,2067,2227
*data,0,0,0,0,0,0,0,2067,2067
*data,0,0,0,0,0,0,0,1817,1817
*data,0,0,0,0,0,0,0,1817,1817
*data,0,0,0,0,0,0,0,1817,1817
*data,0,80,0,0,0,0,0,1812,1892
*data,0,251,0,0,0,0,0,1812,2063
*data,0,242,0,0,0,0,79,412,733
*data,0,242,0,0,0,0,249,412,903
*data,0,314,0,0,0,0,240,662,1216
*data,0,411,0,0,0,0,240,662,1313
*data,0,242,0,0,0,0,232,662,1136
*data,0,242,0,0,0,0,159,667,1068
*data,0,234,0,0,0,0,0,667,901
*data,0,160,0,0,0,0,0,667,827
*data,820,0,0,0,0,0,0,417,1237
*data,820,0,0,0,0,0,0,417,1237
*data,820,0,0,0,0,0,0,417,1237
*data,820,0,0,0,0,0,0,417,1237
*data,820,80,0,0,0,0,0,417,1317
*data,820,251,0,0,0,0,0,417,1488
*data,820,242,0,0,0,0,79,417,1558
*data,820,242,0,0,0,0,249,417,1728
*data,820,314,0,0,0,0,240,317,1691
*data,820,411,0,0,0,0,240,317,1788
*data,820,242,0,0,0,0,232,317,1611
*data,820,242,0,0,0,0,159,317,1538
*data,820,234,0,0,0,0,0,317,1371
*data,820,160,0,0,0,0,0,67,1047
*data,820,0,0,0,0,0,0,67,887
*data,820,0,0,0,0,0,0,1067,1887
*data,820,0,0,0,0,0,0,1062,1882
*data,820,0,0,0,0,0,0,62,882
*data,820,80,0,0,0,0,0,62,962
*data,820,251,0,0,0,0,0,62,1133
*data,820,242,0,0,0,0,79,62,1203
*data,820,242,0,0,0,0,249,62,1373
*data,0,314,0,0,0,0,240,62,616
*data,0,411,0,0,0,0,240,62,713
*data,0,242,0,0,0,0,232,62,536
*data,0,242,0,0,0,0,159,62,463
*data,0,234,0,0,0,0,0,62,296
*data,0,160,0,0,0,0,0,62,222
*data,0,0,0,0,0,0,0,62,62
*data,0,0,0,0,0,0,0,62,62
*data,0,0,0,0,0,0,0,62,62
*data,0,0,0,0,0,0,0,62,62
*data,0,80,0,0,0,0,0,62,142
*data,0,251,0,0,0,0,0,62,313
*data,120,242,0,0,0,0,79,62,503
*data,120,242,0,0,0,0,249,62,673
*data,120,314,0,0,0,0,240,62,736
*data,120,411,0,0,0,0,240,62,833
*data,120,242,0,0,0,0,232,62,656
*data,120,242,0,0,0,0,159,62,583
*data,120,234,0,0,0,0,0,62,416
*data,120,160,0,0,0,0,0,62,342
*data,120,0,0,0,0,0,0,62,182
*data,120,0,0,0,0,0,0,62,182
*data,120,0,0,0,0,0,0,62,182
*data,240,0,0,0,0,0,0,62,302
*data,240,80,1600,0,0,0,0,62,1982
*data,240,251,1600,0,0,0,0,62,2153
*data,240,242,1600,0,0,0,79,62,2223
*data,360,242,1600,0,0,0,249,62,2513
*data,360,314,1600,0,0,0,240,62,2576
*data,360,411,1600,0,0,0,240,62,2673
*data,760,242,1600,0,0,0,232,62,2896
*data,760,242,1600,0,0,0,159,62,2823
*data,760,234,1600,0,0,0,0,62,2656
*data,640,160,1600,0,0,0,0,62,2462
*data,640,0,1600,0,0,0,0,62,2302
*data,640,0,1600,0,0,0,0,62,2302
*data,520,0,0,0,0,0,0,62,582
*data,120,0,0,0,0,0,0,92,212
*data,120,80,0,0,0,0,0,92,292
*data,320,251,0,0,0,0,0,92,663
*data,320,242,0,0,0,0,79,92,733
*data,320,242,0,0,0,0,249,92,903
*data,320,314,0,0,0,0,240,62,936
*data,320,411,0,0,0,0,240,62,1033
*data,320,242,0,0,0,0,232,92,886
*data,200,242,0,0,0,0,159,92,693
*data,200,234,0,0,0,0,0,92,526
*data,200,160,0,0,0,0,0,92,452
*data,320,0,0,0,0,0,0,92,412
*data,320,0,0,0,0,0,0,92,412
*data,0,0,0,0,0,0,0,92,92
*data,0,0,0,0,0,0,0,92,92
*data,0,80,0,0,0,0,0,92,172
*data,0,251,0,0,0,0,0,92,343
*data,0,242,0,0,0,0,79,192,513
*data,0,242,0,0,0,0,249,192,683
*data,0,314,0,0,0,0,240,192,746
*data,0,411,0,0,0,0,240,162,813
*data,0,242,0,0,0,0,232,162,636
*data,0,242,0,0,0,0,159,162,563
*data,0,234,0,0,0,0,0,162,396
*data,0,160,0,0,0,0,0,162,322
*data,0,0,0,0,0,0,0,162,162
*data,0,0,0,0,0,0,0,162,162
*data,0,0,0,0,0,0,0,162,162
*data,0,0,0,0,0,0,0,162,162
*data,0,80,0,0,0,0,0,162,242
*data,0,251,0,0,0,0,0,162,413
*data,0,242,0,0,0,0,79,162,483
*data,0,242,0,0,0,0,249,162,653
*data,0,314,0,0,0,0,240,162,716
*data,0,411,0,0,0,0,240,162,813
*data,0,242,0,0,0,0,232,162,636
*data,0,242,0,0,0,0,159,62,463
*data,0,234,0,0,0,0,0,62,296
*data,0,160,0,0,0,0,0,62,222
*data,0,0,0,0,0,0,0,62,62
*data,0,0,0,0,0,0,0,62,62
*data,0,0,0,0,0,0,0,62,62
*data,0,0,0,0,0,0,0,62,62
*data,0,80,0,0,0,0,0,62,142
*data,0,251,0,0,0,0,0,62,313
*data,0,242,0,0,0,0,79,62,383
*data,0,242,0,0,0,0,249,62,553
*data,0,314,0,0,0,0,240,62,616
*data,0,411,0,0,0,0,240,62,713
*data,0,242,0,0,0,0,232,62,536
*data,120,242,0,0,0,0,159,62,583
*data,120,234,0,0,0,0,0,62,416
*data,120,160,0,0,0,0,0,62,342
*data,120,0,0,0,0,0,0,62,182
*data,120,0,0,0,0,0,0,62,182
*data,120,0,0,0,0,0,0,62,182
*data,120,0,0,0,0,0,0,62,182
*data,120,80,0,0,0,0,0,62,262
*data,120,251,0,0,0,0,0,62,433
*data,120,242,0,0,0,0,79,62,503
*data,120,242,0,0,0,0,249,62,673
*data,120,314,0,0,0,0,240,62,736
*data,120,411,0,0,0,0,240,62,833
*data,120,242,0,0,0,0,232,62,656
*data,120,242,0,0,0,0,159,62,583
*data,120,890,0,0,0,0,0,312,1322
*data,120,80,0,0,0,0,0,312,512
*data,0,0,0,0,0,0,0,312,312
*data,0,0,0,0,0,0,0,312,312
*data,0,0,0,0,0,0,0,312,312
*data,0,0,0,0,0,0,0,312,312
*data,0,159,0,0,0,0,0,312,471
*data,0,501,0,0,0,0,0,312,813
*data,0,501,0,0,0,0,79,312,892
*data,0,493,0,0,0,0,249,317,1058
*data,0,476,0,0,0,0,240,317,1034
*data,0,402,0,0,0,0,240,317,960
*data,0,234,0,0,0,0,232,317,783
*data,0,242,0,0,0,0,159,67,468
*data,0,234,0,0,0,0,0,62,296
*data,0,201,0,0,0,0,0,62,263
*data,0,80,0,0,0,0,0,62,142
*data,0,0,0,0,0,0,0,62,62
*data,0,0,0,0,0,0,0,62,62
*data,0,0,0,0,0,0,0,62,62
*data,0,80,0,0,0,0,0,62,142
*data,0,251,0,0,0,0,0,62,313
*data,0,242,0,0,0,0,79,62,383
*data,0,242,0,0,0,0,249,62,553
*data,0,314,0,0,0,0,240,62,616
*data,0,411,0,0,0,0,240,62,713
*data,0,242,0,0,0,0,232,62,536
*data,0,242,0,0,0,0,159,62,463
*data,0,234,0,0,0,0,0,1062,1296
*data,0,160,0,0,0,0,0,1062,1222
*data,820,0,0,0,0,0,0,1962,2782
