*info,Geographic name,"Incompletely enumerated Indian reserves and Indian settlements, 2006","Population, 2006","Total private dwellings, 2006","Private dwellings occupied by usual residents, 2006"
*info,Canada,T,31612897,13576855,12435520
*note,THIS FILE HAS BEEN TAGGED BY LUKAS SWAN.,,,,
*note,I WILL USE THIS FILE BY DIVIDING THE VALUES BY LAND AREA TO ACHIEVE AN URBAN/RURAL ESTIMATION,,,,
*note,FSA stands for Forward Sortation Area and is included in the CSDDRD,,,,
*header,FSA,incomplete,population,dwellings_total,dwellings_occupied
*units,-,-,count,count,count
*data,N6G,,31613,12999,11633
*data,N6H,,33776,16701,15343
*data,N6J,,27399,12450,11989
*data,N6K,,30617,12173,11744
*data,N6L,,342,128,117
*data,N6M,,4100,1426,1400
*data,N6N,,790,299,290
*data,N6P,,6186,2218,2139
*data,N7A,,11626,6011,4895
*data,N7G,,17102,6497,6338
*data,N7L,,26259,11824,11134
*data,N7M,,25880,10945,10490
*data,N7S,,27373,10639,10361
*data,N7T,,26760,13388,12478
*data,N7V,,12293,5708,5460
*data,N7W,,1490,778,751
*data,N7X,,1172,469,445
*data,N8A,,14563,6194,5879
*data,N8H,,26748,9743,9148
*data,N8M,,10960,4313,4169
*data,N8N,,24972,8997,8738
*data,N8P,,9279,3525,3407
*data,N8R,,12355,4148,4052
*data,N8S,,22849,10675,10146
*data,N8T,,18247,7839,7518
*data,N8V,,39,16,16
*data,N8W,,24813,9852,9573
*data,N8X,,16121,7712,7062
*data,N8Y,,19727,9719,8981
*data,N9A,,26129,14122,12450
*data,N9B,,16183,7638,6687
*data,N9C,,12481,6150,5191
*data,N9E,,20860,7576,7457
*data,N9G,,17506,6143,6009
*data,N9H,,9365,3202,3131
*data,N9J,,17737,6148,6008
*data,N9K,,2108,640,624
*data,N9V,,20028,7654,7328
*data,N9Y,,13961,5533,5209
*data,P0A,,15737,15369,6864
*data,P0B,,8962,8286,3541
*data,P0C,,3997,6965,1696
*data,P0E,,3062,4026,1235
*data,P0G,,3365,5308,1450
*data,P0H,,30081,16686,11966
*data,P0J,,21490,9964,8857
*data,P0K,,11633,6040,5010
*data,P0L,,23150,10703,8877
*data,P0M,,48408,23158,19305
*data,P0N,,10158,4553,4032
*data,P0P,,18615,11949,7663
*data,P0R,,12462,8445,5241
*data,P0S,,10171,6508,4099
*data,P0T,,36296,19840,14079
*data,P0V,,21913,8496,6807
*data,P0W,,7136,3579,2639
*data,P0X,,8058,6709,2891
*data,P0Y,,29,43,14
*data,P1A,,17287,7230,6937
*data,P1B,,34718,16187,15140
*data,P1C,,2622,849,820
*data,P1H,,15235,8939,6134
*data,P1L,,16186,9034,6419
*data,P1P,,9356,6450,3763
*data,P2A,,12171,8474,5036
*data,P2B,,8903,3938,3732
*data,P2N,,7615,4117,3510
*data,P3A,,24961,10603,9932
*data,P3B,,15028,7383,6881
*data,P3C,,17072,9752,8696
*data,P3E,,26922,12838,11790
*data,P3G,,3724,1622,1385
*data,P3L,,7556,2838,2746
*data,P3N,,7411,2654,2614
*data,P3P,,14422,5151,5025
*data,P3Y,,6916,2689,2612
*data,P4N,,27065,12128,11396
*data,P4P,,2876,1048,1016
*data,P4R,,3265,1107,1094
*data,P5A,,11559,6065,5650
*data,P5E,,5515,2465,2291
*data,P5N,,8782,4243,3850
*data,P6A,,36094,16372,14912
*data,P6B,,23271,10797,10372
*data,P6C,,19648,8382,8059
*data,P7A,,27610,12585,11947
*data,P7B,,27375,14382,12006
*data,P7C,,26608,11792,10895
*data,P7E,,21815,10362,9821
*data,P7G,,8474,3043,2891
*data,P7J,,3860,1362,1302
*data,P7K,,4211,1579,1555
*data,P8N,,11395,5106,4527
*data,P8T,,4797,1919,1776
*data,P9A,,10749,5239,4359
