0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
CHREM:zone 01:net:air exch zone amb total CVI avg (W),-207.58224,-236.39293,-207.66898,-172.22287,-170.12859,-213.27089,-209.36131,-168.32690,-157.49091,-148.56564,-176.51546,-193.42177,-208.89362,-225.76395,-209.41719,-203.33424,-179.64279,-155.95134,-129.25371,-106.04371,-112.56659,-107.93797,-123.61560,-158.00302,-165.92133,-173.74924,-184.70477,-183.80281,-189.03606,-188.57199,-181.97273,-210.62486,-217.22412,-196.14159,-189.47272,-214.57811,-240.49121,-242.27283,-232.38359,-214.12263,-239.95328,-258.29306,-252.02797,-254.01373,-333.01541,-370.69159,-306.96613,-302.53391,-384.38831,-479.40073,-492.87772,-497.02441,-508.29355,-570.80121,-611.86713,-584.63879,-612.42926,-632.49536,-620.13867,-625.61804,-622.62689,-611.32825,-627.28802,-563.42383,-515.77032,-536.22388,-524.61554,-459.08902,-405.50391,-421.52774,-423.62054,-415.61563,-415.61563,-414.19440,-431.05426,-455.69080,-471.25836,-479.04922,-484.37787,-475.92111,-447.87332,-423.90268,-405.13416,-386.89719,-359.46271,-327.89499,-309.61096,-296.52670,-286.24823,-316.83075,-334.23468,-364.95178,-385.40363,-411.62088,-467.43756,-376.41602,-294.39874,-267.45248,-212.98186,-248.41449,-318.70410,-328.99274,-328.94803,-303.84055,-317.64557,-436.52969,-507.55396,-525.06073,-483.03699,-377.45868,-397.49631,-402.93304,-333.83139,-303.67087,-291.22824,-299.49112,-290.77530,-277.52322,-250.07471,-274.75824,-309.80124,-298.14963,-336.73950,-431.55020,-466.95023,-483.99811,-561.41541,-630.27966,-642.71039,-662.00104,-690.54590,-708.80786,-702.21564,-700.79858,-677.93634,-662.89453,-656.16571,-618.81818,-625.94348,-693.58990,-703.89856,-677.77484,-694.40955,-705.09619,-780.95209,-831.54193,-761.39191,-715.59900,-729.17432,-729.17432,-729.17432,-718.39252,-709.55078,-704.84906,-738.06323,-718.96411,-679.45349,-680.68652,-693.74927,-717.73920,-731.60651,-666.17810,-603.85229,-625.90167,-620.43787,-593.91040,-603.68359,-648.35229,-681.11066,-700.62067,-681.58838,-642.00043,-630.60535,-689.93750,-725.39178,-712.15936,-722.80475,-731.38049,-731.38049,-733.63916,-818.23444,-850.23029,-731.74542,-686.70911,-755.67462,-786.71655,-704.53204,-658.60864,-700.52429,-713.45593,-711.65088,-738.54303,-780.81946,-798.74896,-803.62982,-747.05804,-721.61511,-768.71643,-798.57214,-811.94891,-802.45282,-766.45642,-728.62909,-704.43640,-727.61920,-721.62244,-654.68549,-584.78699,-549.71289,-591.76959,-600.48883,-587.89368,-596.67810,-651.82092,-640.92157,-567.38416,-559.31189,-556.70959,-551.59467,-559.66693,-563.37793,-574.27734,-566.52161,-560.47424,-564.33667,-561.66602,-595.69714,-698.15002,-756.87708,-760.79553,-770.50995,-666.93494,-604.60669,-631.12897,-610.82764,-539.18030,-484.29483,-459.48669,-433.85532,-467.14764,-520.09460,-521.31067,-543.25806,-566.40778,-531.55005,-531.55005,-526.05707,-493.85477,-477.73660,-395.91156,-388.06180,-459.03555,-456.12766,-398.23380,-383.69012,-392.89224,-362.17511,-339.97449,-313.68640,-292.71097,-275.21100,-261.30557,-255.22256,-261.41959,-278.28229,-316.54178,-322.16156,-311.77368,-336.92166,-366.84589,-394.99310,-425.21155,-546.37335,-602.27435,-553.41003,-579.56897,-645.14642,-708.40314,-720.32483,-712.81781,-719.60767,-740.85260,-716.18933,-680.13403,-702.00793,-686.22034,-637.14667,-647.44989,-692.38361,-674.03381,-685.08167,-722.80475,-665.68756,-649.90613,-726.57031,-707.32074,-660.27393,-689.34106,-706.48547,-695.08569,-700.35925,-762.90765,-765.15118,-710.31097,-644.41992,-576.92957,-563.56665,-537.72156,-489.42444,-463.89496,-490.36951,-514.56360,-521.89099,-528.48090,-527.33228,-532.63184,-538.49396,-539.05646,-531.20117,-563.79102,-554.53845,-504.01587,-452.34140,-399.81857,-466.72620,-526.46252,-545.72821,-531.47809,-465.12793,-412.01358,-418.11871,-412.49677,-379.59213,-337.14908,-267.71957,-268.56699,-282.08820,-268.44812,-249.92686,-245.90858,-251.12160,-262.41418,-269.50623,-272.68829,-249.92952,-207.44217,-236.02003,-241.15685,-197.40768,-180.36597,-165.78206,-158.26205,-169.66336,-196.39095,-219.43388,-232.91521,-257.02222,-257.17947,-244.41692,-266.95969,
 CHREM:zone 01:net:flux cas gain CONV (W), 492.61600, 492.61600, 295.68100, 105.81400, 121.64575, 122.61475, 154.66299, 164.18201, 160.16351, 160.42001, 162.15849, 283.02698, 717.25299, 587.03650, 289.89551, 332.18951, 172.06226, 242.07248, 276.89948, 352.01123, 439.24976, 481.38699, 672.22302, 616.00671, 399.89124, 232.78149, 139.68625, 148.60675, 130.33824, 109.46200, 98.204498, 211.64876, 594.28979, 783.47278, 825.86646, 1027.0480, 794.11743, 315.64523, 217.57674, 205.07950, 161.65974, 223.23399, 484.66446, 659.51196, 612.92871, 664.44250, 630.28528, 481.44397, 268.81976, 270.71503, 635.54352, 512.08148, 141.16826, 128.89900, 122.60049, 154.19275, 386.18274, 498.34448, 474.80347, 435.78699, 313.40799, 301.80847, 418.08850, 437.76776, 434.91772, 522.46973, 497.41824, 513.42102, 679.61877, 866.76404, 840.57251, 752.87805, 511.72528, 164.05374, 207.43074, 428.88998, 339.88449, 235.18973, 362.32825, 359.96274, 264.27399, 227.38075, 618.04449, 645.30475, 740.35229, 807.71204, 251.13550, 98.489502, 202.68549, 382.81973, 492.95801, 513.89124, 759.24774, 902.91626, 744.92651, 690.02124, 518.42273, 229.03375, 114.37825, 122.01625, 175.86700, 184.61650, 133.70125, 165.94901, 386.05450, 732.25818, 645.50421, 559.04944, 671.43921, 461.53671, 298.84448, 533.45654, 1047.3115, 1033.4463, 782.53223, 1582.3135, 1565.1422, 647.29974, 570.94824, 472.73724, 247.33073, 136.52274, 147.80875, 322.17175, 489.93701, 469.28876, 424.44397, 317.76849, 257.37698, 504.48624, 545.09875, 971.82922, 886.14398, 185.75650, 158.52475, 163.32700, 301.82275, 513.59198, 357.88223, 350.82849, 829.61426, 1281.5957, 1040.8276, 728.65295, 768.89502, 448.61200, 181.69525, 446.50296, 583.54523, 483.06851, 318.35275, 105.03024, 101.16850, 147.68050, 299.92749, 323.63950, 403.26849, 384.94299, 157.39900, 113.28100, 306.01227, 634.87378, 847.42676, 967.78223, 959.41748, 752.63574, 422.40625, 203.12726, 163.36975, 257.93274, 281.08899, 178.37500, 129.92500, 111.49974, 136.69374, 159.19449, 214.48450, 279.77802, 228.91974, 144.53125, 132.44725, 168.48550, 361.06000, 570.40674, 633.66248, 589.85803, 558.97827, 1016.4888, 1381.1748, 1610.9702, 1305.4218, 717.32422, 846.64301, 569.55176, 194.10699, 209.52548, 198.13974, 306.69623, 392.56674, 285.29276, 298.78748, 439.60599, 435.47351, 294.85449, 170.66576, 177.73375, 167.06049, 157.88350, 174.62726, 436.32846, 872.34998, 943.08704, 821.69122, 561.55750, 299.71375, 208.07201, 138.58900, 155.80301, 264.54474, 357.09851, 247.31650, 183.29126, 481.77173, 586.01044, 362.86975, 338.40250, 553.50623, 569.48047, 421.08099, 825.68121, 724.24969, 181.42450, 534.63922, 960.22974, 1032.5485, 881.35596, 900.72168, 947.31921, 623.95825, 455.12424, 344.72949, 186.93924, 292.21826, 480.10449, 439.00751, 300.62573, 411.33398, 406.13275, 367.30151, 446.60275, 512.29529, 424.42975, 178.38925, 171.90550, 292.88800, 391.88275, 355.75897, 282.75623, 466.38177, 795.11499, 697.27448, 771.01819, 1044.9745, 658.59998, 256.84976, 273.52225, 225.25751, 137.20676, 163.28426, 171.79150, 273.25150, 361.28799, 362.99799, 295.19647, 233.52249, 508.70422, 512.60876, 261.11050, 708.66028, 1029.1000, 577.23248, 556.17102, 1341.5598, 1182.6295, 433.87750, 439.27826, 709.95703, 635.65753, 295.92325, 168.88449, 119.87875, 103.71925, 124.33900, 143.39125, 156.07375, 181.76649, 358.99377, 945.31000, 1267.1748, 1079.1317, 691.68848, 703.31647, 619.32697, 168.21475, 255.25374, 434.88922, 480.98798, 574.96674, 467.37924, 746.47974, 1012.7125, 557.61023, 234.94751, 290.18051, 329.86676, 214.92624, 228.87700, 262.36450, 195.11876, 226.25500, 382.81976, 588.50427, 570.97675, 538.90002, 694.22498, 810.27698, 558.99249, 227.62299, 277.02774, 481.10199, 752.03723, 767.68372, 693.65503, 561.42926, 420.29724, 359.96274, 680.21722, 598.10870, 107.23900, 181.60974, 334.81149, 264.81549, 116.14525, 108.80650, 191.44225, 263.73248, 354.60474, 429.21771, 296.99200, 133.47325, 126.98950, 160.93298, 211.62024, 318.40973, 541.00903, 861.20654, 1121.2120, 810.26276, 377.88922, 758.64923,
 CHREM:zone 01:net:flux cas gain RAD (W), 492.61600, 492.61600, 295.68100, 105.81400, 121.64575, 122.61475, 154.66299, 164.18201, 160.16351, 160.42001, 162.15849, 283.02698, 717.25299, 587.03650, 289.89551, 332.18951, 172.06226, 242.07248, 276.89948, 352.01123, 439.24976, 481.38699, 672.22302, 616.00671, 399.89124, 232.78149, 139.68625, 148.60675, 130.33824, 109.46200, 98.204498, 211.64876, 594.28979, 783.47278, 825.86646, 1027.0480, 794.11743, 315.64523, 217.57674, 205.07950, 161.65974, 223.23399, 484.66446, 659.51196, 612.92871, 664.44250, 630.28528, 481.44397, 268.81976, 270.71503, 635.54352, 512.08148, 141.16826, 128.89900, 122.60049, 154.19275, 386.18274, 498.34448, 474.80347, 435.78699, 313.40799, 301.80847, 418.08850, 437.76776, 434.91772, 522.46973, 497.41824, 513.42102, 679.61877, 866.76404, 840.57251, 752.87805, 511.72528, 164.05374, 207.43074, 428.88998, 339.88449, 235.18973, 362.32825, 359.96274, 264.27399, 227.38075, 618.04449, 645.30475, 740.35229, 807.71204, 251.13550, 98.489502, 202.68549, 382.81973, 492.95801, 513.89124, 759.24774, 902.91626, 744.92651, 690.02124, 518.42273, 229.03375, 114.37825, 122.01625, 175.86700, 184.61650, 133.70125, 165.94901, 386.05450, 732.25818, 645.50421, 559.04944, 671.43921, 461.53671, 298.84448, 533.45654, 1047.3115, 1033.4463, 782.53223, 1582.3135, 1565.1422, 647.29974, 570.94824, 472.73724, 247.33073, 136.52274, 147.80875, 322.17175, 489.93701, 469.28876, 424.44397, 317.76849, 257.37698, 504.48624, 545.09875, 971.82922, 886.14398, 185.75650, 158.52475, 163.32700, 301.82275, 513.59198, 357.88223, 350.82849, 829.61426, 1281.5957, 1040.8276, 728.65295, 768.89502, 448.61200, 181.69525, 446.50296, 583.54523, 483.06851, 318.35275, 105.03024, 101.16850, 147.68050, 299.92749, 323.63950, 403.26849, 384.94299, 157.39900, 113.28100, 306.01227, 634.87378, 847.42676, 967.78223, 959.41748, 752.63574, 422.40625, 203.12726, 163.36975, 257.93274, 281.08899, 178.37500, 129.92500, 111.49974, 136.69374, 159.19449, 214.48450, 279.77802, 228.91974, 144.53125, 132.44725, 168.48550, 361.06000, 570.40674, 633.66248, 589.85803, 558.97827, 1016.4888, 1381.1748, 1610.9702, 1305.4218, 717.32422, 846.64301, 569.55176, 194.10699, 209.52548, 198.13974, 306.69623, 392.56674, 285.29276, 298.78748, 439.60599, 435.47351, 294.85449, 170.66576, 177.73375, 167.06049, 157.88350, 174.62726, 436.32846, 872.34998, 943.08704, 821.69122, 561.55750, 299.71375, 208.07201, 138.58900, 155.80301, 264.54474, 357.09851, 247.31650, 183.29126, 481.77173, 586.01044, 362.86975, 338.40250, 553.50623, 569.48047, 421.08099, 825.68121, 724.24969, 181.42450, 534.63922, 960.22974, 1032.5485, 881.35596, 900.72168, 947.31921, 623.95825, 455.12424, 344.72949, 186.93924, 292.21826, 480.10449, 439.00751, 300.62573, 411.33398, 406.13275, 367.30151, 446.60275, 512.29529, 424.42975, 178.38925, 171.90550, 292.88800, 391.88275, 355.75897, 282.75623, 466.38177, 795.11499, 697.27448, 771.01819, 1044.9745, 658.59998, 256.84976, 273.52225, 225.25751, 137.20676, 163.28426, 171.79150, 273.25150, 361.28799, 362.99799, 295.19647, 233.52249, 508.70422, 512.60876, 261.11050, 708.66028, 1029.1000, 577.23248, 556.17102, 1341.5598, 1182.6295, 433.87750, 439.27826, 709.95703, 635.65753, 295.92325, 168.88449, 119.87875, 103.71925, 124.33900, 143.39125, 156.07375, 181.76649, 358.99377, 945.31000, 1267.1748, 1079.1317, 691.68848, 703.31647, 619.32697, 168.21475, 255.25374, 434.88922, 480.98798, 574.96674, 467.37924, 746.47974, 1012.7125, 557.61023, 234.94751, 290.18051, 329.86676, 214.92624, 228.87700, 262.36450, 195.11876, 226.25500, 382.81976, 588.50427, 570.97675, 538.90002, 694.22498, 810.27698, 558.99249, 227.62299, 277.02774, 481.10199, 752.03723, 767.68372, 693.65503, 561.42926, 420.29724, 359.96274, 680.21722, 598.10870, 107.23900, 181.60974, 334.81149, 264.81549, 116.14525, 108.80650, 191.44225, 263.73248, 354.60474, 429.21771, 296.99200, 133.47325, 126.98950, 160.93298, 211.62024, 318.40973, 541.00903, 861.20654, 1121.2120, 810.26276, 377.88922, 758.64923,
 CHREM:zone 01:net:flux heat cool sys (W), 564.43652, 620.39282, 815.61633, 1008.8002, 1031.1676, 1082.7670, 1013.5562, 916.42841, 868.12451, 776.01923, 693.12390, 492.69373, 168.67802, 27.980026, 205.04633, 203.66066, 429.01340, 422.58145, 417.21353, 397.05112, 309.77905, 309.77905, 74.460304, 145.72292, 433.22678, 716.66699, 936.04132, 1021.3589, 1125.1769, 1207.9136, 1245.3481, 1184.8690, 757.29712, 321.34457, 26.325329, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 44.943523, 44.943523, 6.5619392, 277.19907, 392.29507, 482.97940, 731.62152, 1165.3329, 1415.4934, 1139.7856, 1315.5536, 1824.1709, 2043.8225, 2207.9417, 2203.2400, 1752.4875, 924.91467, 183.60565, 0.0000000, 0.0000000, 0.0000000, -0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 164.27193, 280.91318, 401.47656, 650.32935, 875.78381, 1266.6232, 1812.2134, 1966.3530, 1855.8005, 2002.9507, 2184.1738, 2098.0193, 1913.6250, 1445.1025, 839.39917, 336.45312, 0.0000000, 0.0000000, 0.0000000, 456.96274, 721.45856, 826.28345, 843.78809, 842.18286, 906.83704, 686.80072, 524.56873, 722.17511, 687.37744, 771.70392, 1057.5201, 1167.4866, 1232.0686, 1256.5344, 1277.5583, 1361.8271, 1260.2839, 880.36646, 460.86252, 509.52353, 566.61932, 386.71246, 484.43433, 672.45892, 517.64130, 0.0000000, 0.0000000, 195.71347, 195.71347, 0.0000000, 281.58755, 281.58755, 512.98523, 922.41235, 1172.6459, 1333.8826, 1348.1863, 1268.4841, 1342.2422, 1514.5757, 1652.2235, 1465.3695, 722.68585, 246.24452, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 42.302734, 243.62706, 819.84320, 1297.0933, 1158.1210, 749.12695, 1045.3540, 1508.9706, 1702.3245, 2202.5310, 2549.3154, 2341.5693, 2203.8647, 2268.9189, 2471.5891, 2647.7271, 2311.1719, 1654.8313, 857.49213, 246.98268, 0.0000000, 0.0000000, 265.07629, 626.35553, 824.26599, 793.89008, 776.47565, 794.07349, 898.22717, 1190.2375, 1687.2661, 2137.4951, 2368.6809, 2376.7524, 2367.8955, 2480.3481, 2584.8115, 2727.5132, 2794.5845, 2726.2229, 2402.7012, 1841.2656, 1390.1306, 1032.6317, 766.85278, 601.27356, 362.96875, 354.55420, 691.13391, 1158.1548, 1421.7107, 1065.9666, 784.12402, 531.67444, 854.08936, 1624.3230, 1675.6688, 2079.4829, 2618.8062, 2677.8335, 2743.5693, 2735.3486, 2682.7852, 2634.8911, 2008.0613, 875.13062, 95.533295, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 15.821935, 15.821935, 280.54346, 755.13885, 1415.3025, 1948.1544, 2199.2715, 2432.3345, 2521.7053, 2460.8228, 2386.0244, 2517.9841, 2636.3462, 2310.1221, 1885.3162, 1259.3344, 359.38138, 0.0000000, 0.0000000, -0.0000000, -0.0000000, -0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 74.968979, 668.07886, 1183.1204, 1630.5598, 2025.9128, 2088.9670, 1991.3408, 2025.4109, 2212.4932, 2162.8677, 2035.9994, 1586.9220, 800.12720, 297.14615, 237.94656, 409.86047, 384.57382, 282.11688, 238.31992, 402.25043, 711.10822, 686.89111, 402.52728, 544.81042, 506.53360, 196.35167, 597.18732, 1138.5518, 1279.0640, 1412.4380, 1581.2798, 1674.2322, 1770.3582, 1748.7488, 1615.5477, 1297.4802, 650.68231, 45.407047, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 3.6173596, 178.24823, 174.63087, 308.88406, 1264.7720, 1565.8965, 1459.7953, 1661.6354, 2226.0178, 2522.9795, 2710.2510, 2857.4155, 2827.2739, 2822.4795, 2934.5371, 2656.5002, 1527.8335, 554.68994, 0.0000000, -0.0000000, -0.0000000, -0.0000000, -0.0000000, -0.0000000, -0.0000000, 0.0000000, 0.0000000, 0.0000000, 33.442711, 33.442711, 79.022118, 909.97998, 1589.4851, 1817.9175, 1968.3127, 2230.5845, 2326.6328, 2334.4553, 2420.2974, 2250.5205, 1313.6368, 153.92928, 0.0000000, 0.0000000, -0.0000000, -0.0000000, -0.0000000, -0.0000000, -0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 65.929810, 346.47629, 299.76324, 538.82153, 1189.6382, 1287.4666, 1219.1106, 1338.4500, 1552.5771, 1608.0840, 1483.1979, 1266.5089, 1039.8943, 753.68738, 603.38367, 612.08490, 590.78748, 573.44067, 611.25500, 673.14899, 575.46832, 280.67908, 47.842381, 345.88431, 857.40894, 563.19409,
 CHREM:zone 01:net:storage air mass sensible (W), 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 78.798164, -79.029716, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 14.432316, -14.440064, 19.739138, -19.753635, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 81.671150, 259.98325, -2.3336189, -157.25906, -15.736840, -32.505962, -104.30202, -31.608503, 29.218237, -29.250015, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 67.812782, 190.05035, 88.014656, 30.604010, -8.0292664, -60.697453, -94.571045, -93.954536, -113.21980, -7.5696898, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 108.01594, -72.144173, 63.175873, -23.421257, -76.132530, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.4771993, -1.4772806, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 20.723495, 18.065414, -4.0629811, -34.762745, 282.64285, -135.48849, -149.40363, 23.753260, -23.774260, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 81.779312, 260.35410, 22.579567, -203.18022, 26.651123, -131.94406, -58.805916, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.13393292, 73.478722, -15.586627, -58.193974, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 72.647064, 175.15135, 57.757751, 29.807293, -49.411549, -96.701836, -118.74423, -71.831482, 1.0785755, -1.0786189, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 92.011978, 245.05254, 94.065384, 9.4482822, 153.81500, -148.89238, -180.76439, 52.670410, -73.330276, -70.974190, -106.65535, -35.191910, -34.660725, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 80.176926, 210.60709, -85.639359, -64.649681, 146.77046, -38.985378, -251.03690, 0.0000000, 157.35431, -158.28038, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 277.82129, 213.67590, 182.55888, 7.5611930, 78.025513, -67.978081, -201.21278, -43.175907, -117.70696, -125.33493, -76.283981, -132.83754, 26.332777, -26.358585, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 82.076584, 237.15303, 136.78204, 171.16054, 82.118851, -109.75233, -116.58537, -46.718040, -82.799316, -32.731300, -89.766006, -73.828522, -98.396133, -62.077522, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 13.152366, -13.158801, 0.0000000, 0.0000000,
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
