CHREM:zone 01:net:air exch zone amb total CVI avg (W), CHREM:zone 01:net:flux cas gain CONV (W), CHREM:zone 01:net:flux cas gain RAD (W), CHREM:zone 01:net:flux heat cool sys (W), CHREM:zone 01:net:storage air mass sensible (W), 
-385.40363, 759.24774, 759.24774, 686.80072, 0.0000000, 
-411.62088, 902.91626, 902.91626, 524.56873, 0.0000000, 
-467.43756, 744.92651, 744.92651, 722.17511, 0.0000000, 
-376.41602, 690.02124, 690.02124, 687.37744, 0.0000000, 
-294.39874, 518.42273, 518.42273, 771.70392, 0.0000000, 
-267.45248, 229.03375, 229.03375, 1057.5201, 0.0000000, 
-212.98186, 114.37825, 114.37825, 1167.4866, 0.0000000, 
-248.41449, 122.01625, 122.01625, 1232.0686, 0.0000000, 
-318.70410, 175.86700, 175.86700, 1256.5344, 0.0000000, 
-328.99274, 184.61650, 184.61650, 1277.5583, 0.0000000, 
-328.94803, 133.70125, 133.70125, 1361.8271, 0.0000000, 
-303.84055, 165.94901, 165.94901, 1260.2839, 0.0000000, 
-317.64557, 386.05450, 386.05450, 880.36646, 0.0000000, 
-436.52969, 732.25818, 732.25818, 460.86252, 1.4771993, 
-507.55396, 645.50421, 645.50421, 509.52353, -1.4772806, 
-525.06073, 559.04944, 559.04944, 566.61932, 0.0000000, 
-483.03699, 671.43921, 671.43921, 386.71246, 0.0000000, 
-377.45868, 461.53671, 461.53671, 484.43433, 0.0000000, 
-397.49631, 298.84448, 298.84448, 672.45892, 0.0000000, 
-402.93304, 533.45654, 533.45654, 517.64130, 20.723495, 
-333.83139, 1047.3115, 1047.3115, 0.0000000, 18.065414, 
-303.67087, 1033.4463, 1033.4463, 0.0000000, -4.0629811, 
-291.22824, 782.53223, 782.53223, 195.71347, -34.762745, 
-299.49112, 1582.3135, 1582.3135, 195.71347, 282.64285, 
-290.77530, 1565.1422, 1565.1422, 0.0000000, -135.48849, 
-277.52322, 647.29974, 647.29974, 281.58755, -149.40363, 
-250.07471, 570.94824, 570.94824, 281.58755, 23.753260, 
-274.75824, 472.73724, 472.73724, 512.98523, -23.774260, 
-309.80124, 247.33073, 247.33073, 922.41235, 0.0000000, 
-298.14963, 136.52274, 136.52274, 1172.6459, 0.0000000, 
-336.73950, 147.80875, 147.80875, 1333.8826, 0.0000000, 
-431.55020, 322.17175, 322.17175, 1348.1863, 0.0000000, 
-466.95023, 489.93701, 489.93701, 1268.4841, 0.0000000, 
-483.99811, 469.28876, 469.28876, 1342.2422, 0.0000000, 
-561.41541, 424.44397, 424.44397, 1514.5757, 0.0000000, 
-630.27966, 317.76849, 317.76849, 1652.2235, 0.0000000, 
-642.71039, 257.37698, 257.37698, 1465.3695, 0.0000000, 
-662.00104, 504.48624, 504.48624, 722.68585, 0.0000000, 
-690.54590, 545.09875, 545.09875, 246.24452, 81.779312, 
-708.80786, 971.82922, 971.82922, 0.0000000, 260.35410, 
-702.21564, 886.14398, 886.14398, 0.0000000, 22.579567, 
-700.79858, 185.75650, 185.75650, 0.0000000, -203.18022, 
-677.93634, 158.52475, 158.52475, 0.0000000, 26.651123, 
-662.89453, 163.32700, 163.32700, 0.0000000, -131.94406, 
-656.16571, 301.82275, 301.82275, 42.302734, -58.805916, 
-618.81818, 513.59198, 513.59198, 243.62706, 0.0000000, 
-625.94348, 357.88223, 357.88223, 819.84320, 0.0000000, 
-693.58990, 350.82849, 350.82849, 1297.0933, 0.0000000, 
-703.89856, 829.61426, 829.61426, 1158.1210, 0.0000000, 
-677.77484, 1281.5957, 1281.5957, 749.12695, 0.0000000, 
-694.40955, 1040.8276, 1040.8276, 1045.3540, 0.0000000, 
-705.09619, 728.65295, 728.65295, 1508.9706, 0.0000000, 
-780.95209, 768.89502, 768.89502, 1702.3245, 0.0000000, 
-831.54193, 448.61200, 448.61200, 2202.5310, 0.0000000, 
-761.39191, 181.69525, 181.69525, 2549.3154, 0.0000000, 
-715.59900, 446.50296, 446.50296, 2341.5693, 0.0000000, 
-729.17432, 583.54523, 583.54523, 2203.8647, 0.0000000, 
-729.17432, 483.06851, 483.06851, 2268.9189, 0.0000000, 
-729.17432, 318.35275, 318.35275, 2471.5891, 0.0000000, 
-718.39252, 105.03024, 105.03024, 2647.7271, 0.0000000, 
-709.55078, 101.16850, 101.16850, 2311.1719, 0.0000000, 
-704.84906, 147.68050, 147.68050, 1654.8313, 0.0000000, 
-738.06323, 299.92749, 299.92749, 857.49213, 0.0000000, 
-718.96411, 323.63950, 323.63950, 246.98268, 0.13393292, 
-679.45349, 403.26849, 403.26849, 0.0000000, 73.478722, 
-680.68652, 384.94299, 384.94299, 0.0000000, -15.586627, 
-693.74927, 157.39900, 157.39900, 265.07629, -58.193974, 
